algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-sensitive-attr,1-accuracy-sensitive-attr,sensitive-attr-accuracy,0-accuracy-sensitive-attr_over_1-accuracy-sensitive-attr,sensitive-attr-accuracyRatio,diff:1-accuracy-sensitive-attrto0-accuracy-sensitive-attr,sensitive-attr-accuracyDiff,0-TPR-sensitive-attr,1-TPR-sensitive-attr,sensitive-attr-TPR,0-TPR-sensitive-attr_over_1-TPR-sensitive-attr,sensitive-attr-TPRRatio,diff:1-TPR-sensitive-attrto0-TPR-sensitive-attr,sensitive-attr-TPRDiff,0-TNR-sensitive-attr,1-TNR-sensitive-attr,sensitive-attr-TNR,0-TNR-sensitive-attr_over_1-TNR-sensitive-attr,sensitive-attr-TNRRatio,diff:1-TNR-sensitive-attrto0-TNR-sensitive-attr,sensitive-attr-TNRDiff,0-FPR-sensitive-attr,1-FPR-sensitive-attr,sensitive-attr-FPR,0-FPR-sensitive-attr_over_1-FPR-sensitive-attr,sensitive-attr-FPRRatio,diff:1-FPR-sensitive-attrto0-FPR-sensitive-attr,sensitive-attr-FPRDiff,0-FNR-sensitive-attr,1-FNR-sensitive-attr,sensitive-attr-FNR,0-FNR-sensitive-attr_over_1-FNR-sensitive-attr,sensitive-attr-FNRRatio,diff:1-FNR-sensitive-attrto0-FNR-sensitive-attr,sensitive-attr-FNRDiff,0-PR-sensitive-attr,1-PR-sensitive-attr,sensitive-attr-PR,0-PR-sensitive-attr_over_1-PR-sensitive-attr,sensitive-attr-PRRatio,diff:1-PR-sensitive-attrto0-PR-sensitive-attr,sensitive-attr-PRDiff,0-calibration+-sensitive-attr,1-calibration+-sensitive-attr,sensitive-attr-calibration+,0-calibration+-sensitive-attr_over_1-calibration+-sensitive-attr,sensitive-attr-calibration+Ratio,diff:1-calibration+-sensitive-attrto0-calibration+-sensitive-attr,sensitive-attr-calibration+Diff,0-calibration--sensitive-attr,1-calibration--sensitive-attr,sensitive-attr-calibration-,0-calibration--sensitive-attr_over_1-calibration--sensitive-attr,sensitive-attr-calibration-Ratio,diff:1-calibration--sensitive-attrto0-calibration--sensitive-attr,sensitive-attr-calibration-Diff
DecisionTree,,1,0.7105788423153693,0.7244094488188977,0.6963562753036437,0.7103828620612707,0.42096706992583866,1.0614436395984244,1.0614436395984244,1.0308413599540729,0.7295081967213115,0.6926070038910506,0.711057600306181,1.0532786885245902,1.0532786885245902,1.036901192830261,1.036901192830261,0.82,0.6623376623376623,0.7411688311688311,1.2380392156862745,1.2380392156862745,1.1576623376623376,1.1576623376623376,0.6666666666666666,0.7378640776699029,0.7022653721682848,0.9035087719298245,0.9035087719298245,0.9288025889967637,0.9288025889967637,0.33333333333333337,0.2621359223300971,0.2977346278317152,1.271604938271605,1.271604938271605,1.0711974110032363,1.0711974110032363,0.18000000000000005,0.33766233766233766,0.25883116883116886,0.5330769230769232,0.5330769230769232,0.8423376623376624,0.8423376623376624,0.5327868852459017,0.5019455252918288,0.5173662052688652,1.0614436395984244,1.0614436395984244,1.0308413599540729,1.0308413599540729,0.6307692307692307,0.7906976744186046,0.7107334525939177,0.797737556561086,0.797737556561086,0.8400715563506261,0.8400715563506261,0.15789473684210525,0.40625,0.28207236842105265,0.38866396761133604,0.38866396761133604,0.7516447368421053,0.7516447368421053
DecisionTree,,2,0.7095808383233533,0.7204724409448819,0.6983805668016194,0.7094265038732507,0.41897573730300486,1.0823060539563703,1.0823060539563703,1.0406726414492569,0.7274590163934426,0.6926070038910506,0.7100330101422465,1.0503200405231166,1.0503200405231166,1.034852012502392,1.034852012502392,0.82,0.6558441558441559,0.7379220779220779,1.25029702970297,1.25029702970297,1.164155844155844,1.164155844155844,0.6631944444444444,0.7475728155339806,0.7053836299892124,0.8871302308802308,0.8871302308802308,0.9156216289104638,0.9156216289104638,0.3368055555555556,0.2524271844660194,0.2946163700107875,1.3342681623931625,1.3342681623931625,1.084378371089536,1.084378371089536,0.18000000000000005,0.3441558441558441,0.2620779220779221,0.5230188679245286,0.5230188679245286,0.835844155844156,0.835844155844156,0.5348360655737705,0.49416342412451364,0.5144997448491421,1.0823060539563703,1.0823060539563703,1.0406726414492569,1.0406726414492569,0.6283524904214559,0.7952755905511811,0.7118140404863185,0.7901065968665831,0.7901065968665831,0.8330768998702748,0.8330768998702748,0.15859030837004406,0.4076923076923077,0.2831413080311759,0.3889950960019949,0.3889950960019949,0.7508980006777364,0.7508980006777364
DecisionTree,,3,0.718562874251497,0.7263779527559056,0.7105263157894737,0.7184521342726896,0.4369669575813563,1.0208701134930644,1.0208701134930644,1.0105568667474645,0.7540983606557377,0.6848249027237354,0.7194616316897365,1.1011549925484352,1.1011549925484352,1.0692734579320022,1.0692734579320022,0.83,0.6590909090909091,0.7445454545454545,1.2593103448275862,1.2593103448275862,1.170909090909091,1.170909090909091,0.7013888888888888,0.7233009708737864,0.7123449298813376,0.9697054436987322,0.9697054436987322,0.9780879180151024,0.9780879180151024,0.29861111111111116,0.2766990291262136,0.28765507011866237,1.0791910331384018,1.0791910331384018,1.0219120819848975,1.0219120819848975,0.17000000000000004,0.34090909090909094,0.2554545454545455,0.49866666666666676,0.49866666666666676,0.8290909090909091,0.8290909090909091,0.5163934426229508,0.5058365758754864,0.5111150092492186,1.0208701134930644,1.0208701134930644,1.0105568667474645,1.0105568667474645,0.6587301587301587,0.7807692307692308,0.7197496947496947,0.8436937993588239,0.8436937993588239,0.877960927960928,0.877960927960928,0.1440677966101695,0.41338582677165353,0.2787268116909115,0.34850686037126716,0.34850686037126716,0.730681969838516,0.730681969838516
DecisionTree,,4,0.7115768463073853,0.7047244094488189,0.7186234817813765,0.7116739456150977,0.423320059009829,0.9757116533231669,0.9757116533231669,0.987808573068827,0.7192622950819673,0.7042801556420234,0.7117712253619953,1.0212729825196993,1.0212729825196993,1.0149821394399439,1.0149821394399439,0.755,0.672077922077922,0.7135389610389611,1.1233816425120773,1.1233816425120773,1.082922077922078,1.082922077922078,0.6944444444444444,0.7524271844660194,0.723435814455232,0.9229390681003584,0.9229390681003584,0.942017259978425,0.942017259978425,0.3055555555555556,0.24757281553398058,0.2765641855447681,1.2342047930283226,1.2342047930283226,1.057982740021575,1.057982740021575,0.245,0.32792207792207795,0.28646103896103897,0.747128712871287,0.747128712871287,0.917077922077922,0.917077922077922,0.48975409836065575,0.5019455252918288,0.49584981182624227,0.9757116533231669,0.9757116533231669,0.987808573068827,0.987808573068827,0.6317991631799164,0.8023255813953488,0.7170623722876326,0.7874598265720697,0.7874598265720697,0.8294735817845675,0.8294735817845675,0.19678714859437751,0.39453125,0.29565919929718876,0.49878722812040244,0.49878722812040244,0.8022558985943775,0.8022558985943775
Calders,beta=1.0,0,0.405189620758483,0.3937007874015748,0.41700404858299595,0.4053524179922854,-0.1893404387481641,0.0,1.0,2.0,0.4098360655737705,0.40077821011673154,0.405307137845251,1.0226006684704758,1.0226006684704758,1.0090578554570389,1.0090578554570389,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0.0,1.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0.0,1.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0.4098360655737705,1.0,0.7049180327868853,0.4098360655737705,0.4098360655737705,0.4098360655737705,0.4098360655737705,1.0,0.5992217898832685,0.7996108949416343,1.6688311688311688,1.6688311688311688,1.4007782101167314,1.4007782101167314
Calders,beta=1.0,1,0.405189620758483,0.3937007874015748,0.41700404858299595,0.4053524179922854,-0.1893404387481641,0.0,1.0,2.0,0.4098360655737705,0.40077821011673154,0.405307137845251,1.0226006684704758,1.0226006684704758,1.0090578554570389,1.0090578554570389,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0.0,1.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0.0,1.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0.4098360655737705,1.0,0.7049180327868853,0.4098360655737705,0.4098360655737705,0.4098360655737705,0.4098360655737705,1.0,0.5992217898832685,0.7996108949416343,1.6688311688311688,1.6688311688311688,1.4007782101167314,1.4007782101167314
Calders,beta=1.0,2,0.405189620758483,0.3937007874015748,0.41700404858299595,0.4053524179922854,-0.1893404387481641,0.0,1.0,2.0,0.4098360655737705,0.40077821011673154,0.405307137845251,1.0226006684704758,1.0226006684704758,1.0090578554570389,1.0090578554570389,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0.0,1.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0.0,1.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0.4098360655737705,1.0,0.7049180327868853,0.4098360655737705,0.4098360655737705,0.4098360655737705,0.4098360655737705,1.0,0.5992217898832685,0.7996108949416343,1.6688311688311688,1.6688311688311688,1.4007782101167314,1.4007782101167314
Calders,beta=1.0,3,0.405189620758483,0.3937007874015748,0.41700404858299595,0.4053524179922854,-0.1893404387481641,0.0,1.0,2.0,0.4098360655737705,0.40077821011673154,0.405307137845251,1.0226006684704758,1.0226006684704758,1.0090578554570389,1.0090578554570389,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0.0,1.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0.0,1.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0.4098360655737705,1.0,0.7049180327868853,0.4098360655737705,0.4098360655737705,0.4098360655737705,0.4098360655737705,1.0,0.5992217898832685,0.7996108949416343,1.6688311688311688,1.6688311688311688,1.4007782101167314,1.4007782101167314
Calders,beta=1.0,4,0.405189620758483,0.3937007874015748,0.41700404858299595,0.4053524179922854,-0.1893404387481641,0.0,1.0,2.0,0.4098360655737705,0.40077821011673154,0.405307137845251,1.0226006684704758,1.0226006684704758,1.0090578554570389,1.0090578554570389,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0.0,1.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0.0,1.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0.4098360655737705,1.0,0.7049180327868853,0.4098360655737705,0.4098360655737705,0.4098360655737705,0.4098360655737705,1.0,0.5992217898832685,0.7996108949416343,1.6688311688311688,1.6688311688311688,1.4007782101167314,1.4007782101167314
Kamishima,eta=1.0,0,0.811377245508982,0.8169291338582677,0.805668016194332,0.8112985750262999,0.6226604236968991,0.6662913109516577,0.6662913109516577,0.7967882885756203,0.8401639344262295,0.7840466926070039,0.8121053135166167,1.0715738518488387,1.0715738518488387,1.0561172418192255,1.0561172418192255,0.8,0.827922077922078,0.813961038961039,0.9662745098039216,0.9662745098039216,0.9720779220779221,0.9720779220779221,0.8680555555555556,0.7184466019417476,0.7932510787486515,1.2082394894894894,1.2082394894894894,1.149608953613808,1.149608953613808,0.13194444444444442,0.2815533980582524,0.20674892125134842,0.46863026819923365,0.46863026819923365,0.850391046386192,0.850391046386192,0.19999999999999996,0.17207792207792205,0.186038961038961,1.1622641509433962,1.1622641509433962,1.027922077922078,1.027922077922078,0.4057377049180328,0.6089494163424124,0.5073435606302226,0.6662913109516577,0.6662913109516577,0.7967882885756203,0.7967882885756203,0.8080808080808081,0.8146964856230032,0.8113886468519056,0.9918795801148742,0.9918795801148742,0.9933843224578048,0.9933843224578048,0.13793103448275862,0.263681592039801,0.20080631326127982,0.5230969420949902,0.5230969420949902,0.8742494424429577,0.8742494424429577
