algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,sex-accuracy,0-accuracy_over_1-accuracy,sex-accuracyRatio,diff:1-accuracyto0-accuracy,sex-accuracyDiff,0-accuracy,1-accuracy,race-accuracy,0-accuracy_over_1-accuracy,race-accuracyRatio,diff:1-accuracyto0-accuracy,race-accuracyDiff,0-TPR,1-TPR,sex-TPR,0-TPR_over_1-TPR,sex-TPRRatio,diff:1-TPRto0-TPR,sex-TPRDiff,0-TPR,1-TPR,race-TPR,0-TPR_over_1-TPR,race-TPRRatio,diff:1-TPRto0-TPR,race-TPRDiff,0-TNR,1-TNR,sex-TNR,0-TNR_over_1-TNR,sex-TNRRatio,diff:1-TNRto0-TNR,sex-TNRDiff,0-TNR,1-TNR,race-TNR,0-TNR_over_1-TNR,race-TNRRatio,diff:1-TNRto0-TNR,race-TNRDiff,0-FPR,1-FPR,sex-FPR,0-FPR_over_1-FPR,sex-FPRRatio,diff:1-FPRto0-FPR,sex-FPRDiff,0-FPR,1-FPR,race-FPR,0-FPR_over_1-FPR,race-FPRRatio,diff:1-FPRto0-FPR,race-FPRDiff,0-FNR,1-FNR,sex-FNR,0-FNR_over_1-FNR,sex-FNRRatio,diff:1-FNRto0-FNR,sex-FNRDiff,0-FNR,1-FNR,race-FNR,0-FNR_over_1-FNR,race-FNRRatio,diff:1-FNRto0-FNR,race-FNRDiff,0-calibration+,1-calibration+,sex-calibration+,0-calibration+_over_1-calibration+,sex-calibration+Ratio,diff:1-calibration+to0-calibration+,sex-calibration+Diff,0-calibration+,1-calibration+,race-calibration+,0-calibration+_over_1-calibration+,race-calibration+Ratio,diff:1-calibration+to0-calibration+,race-calibration+Diff,0-calibration-,1-calibration-,sex-calibration-,0-calibration-_over_1-calibration-,sex-calibration-Ratio,diff:1-calibration-to0-calibration-,sex-calibration-Diff,0-calibration-,1-calibration-,race-calibration-,0-calibration-_over_1-calibration-,race-calibration-Ratio,diff:1-calibration-to0-calibration-,race-calibration-Diff
UniversalGP,s_as_input=True,0,0.5295437546746448,0.5665024630541872,0.5229276895943563,0.5447150763242717,0.06419675006537388,0.9841257131418276,0.9841257131418276,0.9921842660306321,0.5326460481099656,0.52868068833652,0.5306633682232429,1.0075004815967885,1.0075004815967885,1.0039653597734457,1.0039653597734457,0.5147579693034239,0.5551020408163265,0.5349300050598752,0.9273213417598445,0.9273213417598445,0.9596559284870974,0.9596559284870974,0.6086956521739131,0.5611111111111111,0.5849033816425121,1.0848041325871718,1.0848041325871718,1.047584541062802,1.047584541062802,0.5771812080536913,0.5370370370370371,0.5571091225453642,1.0747512149965286,1.0747512149965286,1.0401441710166544,1.0401441710166544,0.5261194029850746,0.5219399538106235,0.5240296783978491,1.0080075287280412,1.0080075287280412,1.0041794491744511,1.0041794491744511,0.501432664756447,0.5573394495412844,0.5293860571488658,0.8996898840897567,0.8996898840897567,0.9440932152151625,0.9440932152151625,0.47388059701492535,0.4780600461893765,0.4759703216021509,0.9912574807123801,0.9912574807123801,0.9958205508255489,0.9958205508255489,0.498567335243553,0.44266055045871555,0.4706139428511343,1.1262971925709282,1.1262971925709282,1.0559067847848373,1.0559067847848373,0.3913043478260869,0.4388888888888889,0.4150966183574879,0.89157952669235,0.89157952669235,0.952415458937198,0.952415458937198,0.42281879194630867,0.4629629629629629,0.4428908774546358,0.9132885906040268,0.9132885906040268,0.9598558289833458,0.9598558289833458,0.09929078014184398,0.19611650485436893,0.14770364249810647,0.5062846710202935,0.5062846710202935,0.9031742752874751,0.9031742752874751,0.19815668202764977,0.13063063063063063,0.16439365632914021,1.5169235658668363,1.5169235658668363,1.067526051397019,1.067526051397019,0.06,0.1487758945386064,0.1043879472693032,0.4032911392405063,0.4032911392405063,0.9112241054613937,0.9112241054613937,0.15254237288135594,0.09328358208955224,0.1229129774854541,1.6352542372881356,1.6352542372881356,1.0592587907918036,1.0592587907918036
UniversalGP,s_as_input=True,1,0.49663425579655945,0.4742268041237113,0.5004374453193351,0.4873321247215232,-0.01784723911203654,1.05195179928276,1.05195179928276,1.0254839318451419,0.47686832740213525,0.5018939393939394,0.48938113339803735,0.9501376485597259,0.9501376485597259,0.9749743880081958,0.9749743880081958,0.48729792147806006,0.5138004246284501,0.5005491730532551,0.9484186818849847,0.9484186818849847,0.97349749684961,0.97349749684961,0.45,0.47701149425287354,0.4635057471264368,0.9433734939759036,0.9433734939759036,0.9729885057471265,0.9729885057471265,0.4825174825174825,0.45098039215686275,0.4667489373371726,1.0699300699300698,1.0699300699300698,1.0315370903606198,1.0315370903606198,0.4789272030651341,0.5068027210884354,0.49286496207678476,0.9449973000077142,0.9449973000077142,0.9721244819766988,0.9721244819766988,0.48824343015214383,0.5214285714285715,0.5048360007903576,0.9363572633054813,0.9363572633054813,0.9668148587235723,0.9668148587235723,0.5210727969348659,0.4931972789115646,0.5071350379232152,1.056520015854142,1.056520015854142,1.0278755180233012,1.0278755180233012,0.5117565698478561,0.47857142857142854,0.4951639992096423,1.0693420862492518,1.0693420862492518,1.0331851412764275,1.0331851412764275,0.55,0.5229885057471264,0.5364942528735632,1.0516483516483517,1.0516483516483517,1.0270114942528736,1.0270114942528736,0.5174825174825175,0.5490196078431373,0.5332510626628274,0.9425574425574426,0.9425574425574426,0.9684629096393802,0.9684629096393802,0.06206896551724138,0.16023166023166024,0.11115031287445082,0.38737017033651844,0.38737017033651844,0.9018373052855811,0.9018373052855811,0.1571753986332574,0.10267857142857142,0.12992698503091443,1.5307517084282463,1.5307517084282463,1.054496827204686,1.054496827204686,0.08088235294117647,0.1691449814126394,0.12501366717690793,0.4781835811247577,0.4781835811247577,0.9117373715285371,0.9117373715285371,0.17330210772833723,0.11336032388663968,0.14333121580748845,1.5287721646035464,1.5287721646035464,1.0599417838416976,1.0599417838416976
UniversalGP,s_as_input=True,2,0.5011219147344802,0.47029702970297027,0.5066079295154186,0.4884524796091944,-0.01654548535877001,1.0543457031249999,1.0543457031249999,1.0263245033112582,0.5,0.5014191106906338,0.5007095553453169,0.9971698113207548,0.9971698113207548,0.9985808893093662,0.9985808893093662,0.511137162954279,0.4834710743801653,0.49730411866722213,1.0572238755122694,1.0572238755122694,1.0276660885741138,1.0276660885741138,0.5517241379310345,0.45664739884393063,0.5041857683874825,1.2082060235704932,1.2082060235704932,1.095076739087104,1.095076739087104,0.4774193548387097,0.44680851063829785,0.46211393273850376,1.068509984639017,1.068509984639017,1.0306108442004118,1.0306108442004118,0.4940239043824701,0.5101809954751131,0.5021024499287916,0.9683306684569926,0.9683306684569926,0.983842908907357,0.983842908907357,0.5186246418338109,0.4874141876430206,0.5030194147384157,1.0640327158750016,1.0640327158750016,1.0312104541907903,1.0312104541907903,0.5059760956175299,0.4898190045248869,0.4978975500712084,1.0329858395517237,1.0329858395517237,1.016157091092643,1.016157091092643,0.48137535816618915,0.5125858123569794,0.4969805852615843,0.9391117478510029,0.9391117478510029,0.9687895458092097,0.9687895458092097,0.4482758620689655,0.5433526011560694,0.4958142316125175,0.8250183418928833,0.8250183418928833,0.9049232609128961,0.9049232609128961,0.5225806451612903,0.5531914893617021,0.5378860672614962,0.9446650124069479,0.9446650124069479,0.9693891557995882,0.9693891557995882,0.11188811188811189,0.154296875,0.13309249344405594,0.7251482694520669,0.7251482694520669,0.9575912368881119,0.9575912368881119,0.18048780487804877,0.08571428571428572,0.13310104529616723,2.105691056910569,2.105691056910569,1.094773519163763,1.094773519163763,0.0948905109489051,0.1724770642201835,0.1336837875845443,0.5501630687995029,0.5501630687995029,0.9224134467287216,0.9224134467287216,0.18284424379232506,0.1087866108786611,0.14581542733549308,1.6807605487063726,1.6807605487063726,1.074057632913664,1.074057632913664
UniversalGP,s_as_input=True,3,0.49588631264023936,0.5165876777251185,0.4920071047957371,0.5042973912604278,0.006267867963327629,1.0442997402071594,1.0442997402071594,1.0223588311422929,0.48014440433212996,0.5,0.49007220216606495,0.9602888086642599,0.9602888086642599,0.9801444043321299,0.9801444043321299,0.5109826589595375,0.4682203389830508,0.4896014989712942,1.091329479768786,1.091329479768786,1.0427623199764868,1.0427623199764868,0.5384615384615384,0.5135135135135135,0.525987525987526,1.048582995951417,1.048582995951417,1.024948024948025,1.024948024948025,0.5341614906832298,0.46,0.49708074534161495,1.1612206319200649,1.1612206319200649,1.0741614906832297,1.0741614906832297,0.47410358565737054,0.49714285714285716,0.4856232214001138,0.9536566378165499,0.9536566378165499,0.9769607285145134,0.9769607285145134,0.5056818181818182,0.46919431279620855,0.48743806548901336,1.0777662993572086,1.0777662993572086,1.0364875053856097,1.0364875053856097,0.5258964143426295,0.5028571428571429,0.5143767785998862,1.045816733067729,1.045816733067729,1.0230392714854866,1.0230392714854866,0.49431818181818177,0.5308056872037914,0.5125619345109866,0.9312601461038962,0.9312601461038962,0.9635124946143904,0.9635124946143904,0.46153846153846156,0.4864864864864865,0.47401247401247404,0.9487179487179487,0.9487179487179487,0.975051975051975,0.975051975051975,0.4658385093167702,0.54,0.5029192546583852,0.8626639061421669,0.8626639061421669,0.9258385093167701,0.9258385093167701,0.0958904109589041,0.17757009345794392,0.136730252208424,0.5400144196106705,0.5400144196106705,0.9183203175009602,0.9183203175009602,0.19815668202764977,0.0931174089068826,0.1456370454672662,2.1280304548186737,2.1280304548186737,1.1050392731207672,1.1050392731207672,0.0916030534351145,0.17142857142857143,0.13151581243184296,0.5343511450381679,0.5343511450381679,0.9201744820065431,0.9201744820065431,0.1740139211136891,0.12,0.14700696055684453,1.4501160092807426,1.4501160092807426,1.0540139211136892,1.0540139211136892
UniversalGP,s_as_input=True,4,0.49962602842183995,0.5175438596491229,0.49594229035166815,0.5067430750003955,0.010145066083356828,1.018422958537027,1.018422958537027,1.0092909647080308,0.4897959183673469,0.5023969319271333,0.4960964251472401,0.9749182115594328,0.9749182115594328,0.9873989864402136,0.9873989864402136,0.47635933806146574,0.539714867617108,0.5080371028392868,0.8826129622195459,0.8826129622195459,0.9366444704443577,0.9366444704443577,0.5185185185185185,0.5174129353233831,0.5179657269209508,1.0021367521367521,1.0021367521367521,1.0011055831951354,1.0011055831951354,0.47093023255813954,0.6607142857142857,0.5658222591362126,0.7127592708988058,0.7127592708988058,0.8102159468438539,0.8102159468438539,0.4868913857677903,0.498812351543943,0.4928518686558666,0.9761013019439986,0.9761013019439986,0.9880790342238472,0.9880790342238472,0.47774480712166173,0.5241379310344828,0.5009413690780723,0.9114868030610651,0.9114868030610651,0.953606876087179,0.953606876087179,0.5131086142322097,0.501187648456057,0.5071481313441333,1.0237854340841719,1.0237854340841719,1.0119209657761528,1.0119209657761528,0.5222551928783383,0.4758620689655172,0.49905863092192776,1.0974927966283923,1.0974927966283923,1.046393123912821,1.046393123912821,0.4814814814814815,0.48258706467661694,0.4820342730790492,0.997709049255441,0.997709049255441,0.9988944168048646,0.9988944168048646,0.5290697674418605,0.3392857142857143,0.4341777408637874,1.5593635250917994,1.5593635250917994,1.189784053156146,1.189784053156146,0.09271523178807947,0.19771863117870722,0.14521693148339335,0.46892511462047887,0.46892511462047887,0.8949966006093723,0.8949966006093723,0.18706697459584296,0.15163934426229508,0.16935315942906903,1.2336308594969103,1.2336308594969103,1.035427630333548,1.035427630333548,0.09090909090909091,0.18762088974854932,0.13926499032882012,0.4845360824742268,0.4845360824742268,0.9032882011605416,0.9032882011605416,0.22033898305084745,0.07692307692307693,0.1486310299869622,2.864406779661017,2.864406779661017,1.1434159061277704,1.1434159061277704
UniversalGP,s_as_input=True,5,0.4981301421091997,0.5023255813953489,0.49732620320855614,0.4998258923019525,-0.00025583983626943413,0.9576584542421929,0.9576584542421929,0.9785293578168627,0.5503597122302158,0.48441926345609065,0.5173894878431533,1.1361226808027263,1.1361226808027263,1.0659404487741253,1.0659404487741253,0.49824150058616645,0.49793388429752067,0.4980876924418436,1.0006177854095626,1.0006177854095626,1.0003076162886457,1.0003076162886457,0.7083333333333334,0.47643979057591623,0.5923865619546248,1.4867216117216118,1.4867216117216118,1.2318935427574171,1.2318935427574171,0.48125,0.5636363636363636,0.5224431818181818,0.8538306451612904,0.8538306451612904,0.9176136363636365,0.9176136363636365,0.5354330708661418,0.4861751152073733,0.5108040930367576,1.1013173116393626,1.1013173116393626,1.0492579556587684,1.0492579556587684,0.5021645021645021,0.48951048951048953,0.4958374958374958,1.0258503401360544,1.0258503401360544,1.0126540126540127,1.0126540126540127,0.4645669291338582,0.5138248847926268,0.4891959069632425,0.9041347410049079,0.9041347410049079,0.9507420443412314,0.9507420443412314,0.49783549783549785,0.5104895104895104,0.5041625041625042,0.9752120026092631,0.9752120026092631,0.9873459873459874,0.9873459873459874,0.29166666666666663,0.5235602094240838,0.4076134380453752,0.5570833333333333,0.5570833333333333,0.7681064572425829,0.7681064572425829,0.51875,0.4363636363636364,0.4775568181818182,1.1888020833333333,1.1888020833333333,1.0823863636363638,1.0823863636363638,0.1259259259259259,0.16945996275605213,0.147692944340989,0.7431013431013431,0.7431013431013431,0.9564659631698738,0.9564659631698738,0.18246445497630331,0.124,0.15323222748815166,1.4714875401314784,1.4714875401314784,1.0584644549763034,1.0584644549763034,0.04895104895104895,0.19157088122605365,0.1202609650885513,0.25552447552447555,0.25552447552447555,0.8573801677249953,0.8573801677249953,0.1925754060324826,0.10256410256410256,0.14756975429829258,1.8776102088167055,1.8776102088167055,1.09001130346838,1.09001130346838
UniversalGP,s_as_input=True,6,0.5138369483919222,0.497737556561086,0.5170250896057348,0.5073813230834103,0.010971749342410169,0.7948630802097495,0.7948630802097495,0.8961865447933559,0.575187969924812,0.49859943977591037,0.5368937048503613,1.1536073329390892,1.1536073329390892,1.0765885301489018,1.0765885301489018,0.4976635514018692,0.5426195426195426,0.5201415470107059,0.9171500698249008,0.9171500698249008,0.9550440087823266,0.9550440087823266,0.375,0.5126903553299492,0.4438451776649746,0.7314356435643564,0.7314356435643564,0.8623096446700508,0.8623096446700508,0.49411764705882355,0.5098039215686274,0.5019607843137255,0.9692307692307693,0.9692307692307693,0.9843137254901961,0.9843137254901961,0.5950413223140496,0.4954233409610984,0.545232331637574,1.2010764796824003,1.2010764796824003,1.0996179813529512,1.0996179813529512,0.49854227405247814,0.5465116279069767,0.5225269509797275,0.9122262886917686,0.9122262886917686,0.9520306461455015,0.9520306461455015,0.4049586776859504,0.5045766590389016,0.454767668362426,0.8025711662075299,0.8025711662075299,0.9003820186470488,0.9003820186470488,0.5014577259475219,0.4534883720930233,0.4774730490202726,1.1057785751663303,1.1057785751663303,1.0479693538544987,1.0479693538544987,0.625,0.4873096446700508,0.5561548223350254,1.2825520833333333,1.2825520833333333,1.137690355329949,1.137690355329949,0.5058823529411764,0.4901960784313726,0.4980392156862745,1.0319999999999998,1.0319999999999998,1.0156862745098039,1.0156862745098039,0.08411214953271028,0.1863468634686347,0.13522950650067248,0.45137410937355416,0.45137410937355416,0.8977652860640756,0.8977652860640756,0.19626168224299065,0.11764705882352941,0.15695437053326003,1.6682242990654206,1.6682242990654206,1.0786146234194613,1.0786146234194613,0.09433962264150944,0.18147448015122875,0.1379070513963691,0.5198506289308176,0.5198506289308176,0.9128651424902807,0.9128651424902807,0.20093457943925233,0.09615384615384616,0.14854421279654925,2.089719626168224,2.089719626168224,1.1047807332854063,1.1047807332854063
UniversalGP,s_as_input=True,7,0.5086013462976814,0.5024154589371981,0.5097345132743363,0.5060749861057672,0.008791274589786645,1.1118304165497794,1.1118304165497794,1.0538170766323047,0.46494464944649444,0.5196998123827392,0.4923222309146168,0.8946407875631103,0.8946407875631103,0.9452448370637552,0.9452448370637552,0.4958968347010551,0.53099173553719,0.5134442851191225,0.9339068793591856,0.9339068793591856,0.964905099163865,0.964905099163865,0.5,0.5028571428571429,0.5014285714285714,0.9943181818181818,0.9943181818181818,0.9971428571428571,0.9971428571428571,0.5,0.5087719298245614,0.5043859649122807,0.9827586206896551,0.9827586206896551,0.9912280701754386,0.9912280701754386,0.4602510460251046,0.5230078563411896,0.4916294511831471,0.8800079013055112,0.8800079013055112,0.937243189683915,0.937243189683915,0.4950213371266003,0.5339578454332553,0.5144895912799278,0.9270794340046417,0.9270794340046417,0.9610634916933449,0.9610634916933449,0.5397489539748954,0.4769921436588104,0.5083705488168528,1.1315678070391335,1.1315678070391335,1.0627568103160852,1.0627568103160852,0.5049786628733997,0.4660421545667447,0.4855104087200722,1.0835471811404105,1.0835471811404105,1.038936508306655,1.038936508306655,0.5,0.4971428571428571,0.49857142857142855,1.0057471264367817,1.0057471264367817,1.002857142857143,1.002857142857143,0.5,0.49122807017543857,0.4956140350877193,1.017857142857143,1.017857142857143,1.0087719298245614,1.0087719298245614,0.1103448275862069,0.17153996101364521,0.14094239429992605,0.6432601880877743,0.6432601880877743,0.9388048665725617,0.9388048665725617,0.1744186046511628,0.12719298245614036,0.1508057935536516,1.3712910986367282,1.3712910986367282,1.0472256221950225,1.0472256221950225,0.12698412698412698,0.15732368896925858,0.14215390797669278,0.8071519795657727,0.8071519795657727,0.9696604380148683,0.9696604380148683,0.1773049645390071,0.109375,0.14333998226950356,1.6210739614994936,1.6210739614994936,1.067929964539007,1.067929964539007
UniversalGP,s_as_input=True,8,0.4951383694839192,0.5049019607843137,0.49338040600176525,0.4991411833930395,-0.0012353617945945372,1.0427175383370628,1.0427175383370628,1.021420918836335,0.49019607843137253,0.49660523763336567,0.4934006580323691,0.987094056372549,0.987094056372549,0.9935908407980069,0.9935908407980069,0.494199535962877,0.4968421052631579,0.4955208206130175,0.9946812694168076,0.9946812694168076,0.997357430699719,0.997357430699719,0.5769230769230769,0.4943820224719101,0.5356525496974935,1.1669580419580419,1.1669580419580419,1.0825410544511667,1.0825410544511667,0.47297297297297297,0.5892857142857143,0.5311293436293436,0.8026208026208026,0.8026208026208026,0.8836872586872586,0.8836872586872586,0.48214285714285715,0.4970691676436108,0.489606012393234,0.9699713611859838,0.9699713611859838,0.9850736894992463,0.9850736894992463,0.49859943977591037,0.48448687350835323,0.4915431566421318,1.029128892936485,1.029128892936485,1.0141125662675572,1.0141125662675572,0.5178571428571428,0.5029308323563892,0.510393987606766,1.0296786546786545,1.0296786546786545,1.0149263105007535,1.0149263105007535,0.5014005602240896,0.5155131264916468,0.5084568433578682,0.9726242348791367,0.9726242348791367,0.9858874337324428,0.9858874337324428,0.42307692307692313,0.5056179775280899,0.4643474503025065,0.8367521367521368,0.8367521367521368,0.9174589455488332,0.9174589455488332,0.527027027027027,0.4107142857142857,0.46887065637065634,1.2831962397179788,1.2831962397179788,1.1163127413127412,1.1163127413127412,0.09375,0.1702127659574468,0.13198138297872342,0.55078125,0.55078125,0.9235372340425532,0.9235372340425532,0.16355140186915887,0.13253012048192772,0.1480407611755433,1.2340696686491077,1.2340696686491077,1.0310212813872313,1.0310212813872313,0.07534246575342465,0.17509727626459143,0.12521987100900805,0.43028919330289195,0.43028919330289195,0.9002451894888333,0.9002451894888333,0.17972350230414746,0.10176991150442478,0.14074670690428612,1.765978761771188,1.765978761771188,1.0779535907997226,1.0779535907997226
UniversalGP,s_as_input=True,9,0.4981301421091997,0.5358851674641149,0.49113475177304966,0.5135099596185823,0.019631757793679986,0.9967338806290118,0.9967338806290118,0.9983229733229734,0.48484848484848486,0.5019230769230769,0.4933857808857809,0.9659816556368281,0.9659816556368281,0.982925407925408,0.982925407925408,0.4915458937198068,0.5088408644400786,0.5001933790799427,0.9660110420979986,0.9660110420979986,0.9827050292797281,0.9827050292797281,0.48148148148148145,0.5439560439560439,0.5127187627187627,0.885147774036663,0.885147774036663,0.9375254375254376,0.9375254375254376,0.52,0.576271186440678,0.548135593220339,0.9023529411764706,0.9023529411764706,0.943728813559322,0.943728813559322,0.48518518518518516,0.493006993006993,0.4890960890960891,0.984134489099028,0.984134489099028,0.9921781921781921,0.9921781921781921,0.48525073746312686,0.5,0.49262536873156343,0.9705014749262537,0.9705014749262537,0.9852507374631269,0.9852507374631269,0.5148148148148148,0.506993006993007,0.5109039109039109,1.0154278416347382,1.0154278416347382,1.007821807821808,1.007821807821808,0.5147492625368731,0.5,0.5073746312684366,1.0294985250737463,1.0294985250737463,1.0147492625368733,1.0147492625368733,0.5185185185185186,0.4560439560439561,0.48728123728123734,1.1369924141008478,1.1369924141008478,1.0624745624745624,1.0624745624745624,0.48,0.423728813559322,0.451864406779661,1.1328,1.1328,1.056271186440678,1.056271186440678,0.08552631578947369,0.1853932584269663,0.13545978710822,0.4613237639553429,0.4613237639553429,0.9001330573625074,0.9001330573625074,0.18266978922716628,0.13127413127413126,0.15697196025064877,1.3915139826422374,1.3915139826422374,1.051395657953035,1.051395657953035,0.09655172413793103,0.16403162055335968,0.13029167234564537,0.588616535105941,0.588616535105941,0.9325201035845714,0.9325201035845714,0.17955112219451372,0.1,0.13977556109725686,1.795511221945137,1.795511221945137,1.0795511221945138,1.0795511221945138
