algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,sex-accuracy,0-accuracy_over_1-accuracy,sex-accuracyRatio,diff:1-accuracyto0-accuracy,sex-accuracyDiff,0-accuracy,1-accuracy,age-accuracy,0-accuracy_over_1-accuracy,age-accuracyRatio,diff:1-accuracyto0-accuracy,age-accuracyDiff,0-accuracy,1-accuracy,sex-age-accuracy,0-accuracy_over_1-1-accuracy,1-accuracy_over_1-1-accuracy,sex-age-accuracyRatio,diff:1-1-accuracyto0-accuracy,diff:1-1-accuracyto1-accuracy,sex-age-accuracyDiff,0-TPR,1-TPR,sex-TPR,0-TPR_over_1-TPR,sex-TPRRatio,diff:1-TPRto0-TPR,sex-TPRDiff,0-TPR,1-TPR,age-TPR,0-TPR_over_1-TPR,age-TPRRatio,diff:1-TPRto0-TPR,age-TPRDiff,0-TPR,1-TPR,sex-age-TPR,0-TPR_over_1-1-TPR,1-TPR_over_1-1-TPR,sex-age-TPRRatio,diff:1-1-TPRto0-TPR,diff:1-1-TPRto1-TPR,sex-age-TPRDiff,0-TNR,1-TNR,sex-TNR,0-TNR_over_1-TNR,sex-TNRRatio,diff:1-TNRto0-TNR,sex-TNRDiff,0-TNR,1-TNR,age-TNR,0-TNR_over_1-TNR,age-TNRRatio,diff:1-TNRto0-TNR,age-TNRDiff,0-TNR,1-TNR,sex-age-TNR,0-TNR_over_1-1-TNR,1-TNR_over_1-1-TNR,sex-age-TNRRatio,diff:1-1-TNRto0-TNR,diff:1-1-TNRto1-TNR,sex-age-TNRDiff,0-FPR,1-FPR,sex-FPR,0-FPR_over_1-FPR,sex-FPRRatio,diff:1-FPRto0-FPR,sex-FPRDiff,0-FPR,1-FPR,age-FPR,0-FPR_over_1-FPR,age-FPRRatio,diff:1-FPRto0-FPR,age-FPRDiff,0-FPR,1-FPR,sex-age-FPR,0-FPR_over_1-1-FPR,1-FPR_over_1-1-FPR,sex-age-FPRRatio,diff:1-1-FPRto0-FPR,diff:1-1-FPRto1-FPR,sex-age-FPRDiff,0-FNR,1-FNR,sex-FNR,0-FNR_over_1-FNR,sex-FNRRatio,diff:1-FNRto0-FNR,sex-FNRDiff,0-FNR,1-FNR,age-FNR,0-FNR_over_1-FNR,age-FNRRatio,diff:1-FNRto0-FNR,age-FNRDiff,0-FNR,1-FNR,sex-age-FNR,0-FNR_over_1-1-FNR,1-FNR_over_1-1-FNR,sex-age-FNRRatio,diff:1-1-FNRto0-FNR,diff:1-1-FNRto1-FNR,sex-age-FNRDiff,0-calibration+,1-calibration+,sex-calibration+,0-calibration+_over_1-calibration+,sex-calibration+Ratio,diff:1-calibration+to0-calibration+,sex-calibration+Diff,0-calibration+,1-calibration+,age-calibration+,0-calibration+_over_1-calibration+,age-calibration+Ratio,diff:1-calibration+to0-calibration+,age-calibration+Diff,0-calibration+,1-calibration+,sex-age-calibration+,0-calibration+_over_1-1-calibration+,1-calibration+_over_1-1-calibration+,sex-age-calibration+Ratio,diff:1-1-calibration+to0-calibration+,diff:1-1-calibration+to1-calibration+,sex-age-calibration+Diff,0-calibration-,1-calibration-,sex-calibration-,0-calibration-_over_1-calibration-,sex-calibration-Ratio,diff:1-calibration-to0-calibration-,sex-calibration-Diff,0-calibration-,1-calibration-,age-calibration-,0-calibration-_over_1-calibration-,age-calibration-Ratio,diff:1-calibration-to0-calibration-,age-calibration-Diff,0-calibration-,1-calibration-,sex-age-calibration-,0-calibration-_over_1-1-calibration-,1-calibration-_over_1-1-calibration-,sex-age-calibration-Ratio,diff:1-1-calibration-to0-calibration-,diff:1-1-calibration-to1-calibration-,sex-age-calibration-Diff
UniversalGP,,0,0.7305389221556886,0.8478260869565217,0.47115384615384615,0.6594899665551839,0.34043507804489487,0.946843853820598,0.946843853820598,0.9598997493734336,0.6634615384615384,0.7608695652173914,0.712165551839465,0.8719780219780219,0.8719780219780219,0.9025919732441471,0.9025919732441471,0.673469387755102,0.7403508771929824,0.7069101324740422,0.9096624431763226,0.9096624431763226,0.9331185105621196,0.9331185105621196,0.6859504132231405,0.755868544600939,0.7209094789120398,None,None,1.0,None,None,1.0,0.8208955223880597,0.8588957055214724,0.8398956139547661,0.9557569296375267,0.9557569296375267,0.9619998168665873,0.9619998168665873,0.8275862068965517,0.8507462686567164,0.839166237776634,0.9727767695099818,0.9727767695099818,0.9768399382398353,0.9768399382398353,0.8421052631578947,0.8506493506493507,0.8463773069036227,None,None,1.0,None,None,1.0,0.3783783783783784,0.5223880597014925,0.45038321903993545,0.7243243243243245,0.7243243243243245,0.8559903186768859,0.8559903186768859,0.45,0.47619047619047616,0.4630952380952381,0.9450000000000001,0.9450000000000001,0.9738095238095239,0.9738095238095239,0.4222222222222222,0.5084745762711864,0.46534839924670435,None,None,1.0,None,None,1.0,0.6216216216216216,0.4776119402985075,0.5496167809600645,1.3015202702702702,1.3015202702702702,1.144009681323114,1.144009681323114,0.55,0.5238095238095238,0.536904761904762,1.05,1.05,1.026190476190476,1.026190476190476,0.5777777777777777,0.4915254237288136,0.5346516007532957,None,None,1.0,None,None,1.0,0.17910447761194026,0.14110429447852757,0.16010438604523392,1.2693056456846203,1.2693056456846203,1.0380001831334127,1.0380001831334127,0.1724137931034483,0.14925373134328357,0.16083376222336593,1.1551724137931036,1.1551724137931036,1.0231600617601648,1.0231600617601648,0.1578947368421053,0.14935064935064934,0.15362269309637733,None,None,1.0,None,None,1.0,0.7051282051282052,0.813953488372093,0.7595408467501491,0.8663003663003663,0.8663003663003663,0.8911747167561122,0.8911747167561122,0.6857142857142857,0.7953488372093023,0.740531561461794,0.862155388471178,0.862155388471178,0.8903654485049834,0.8903654485049834,0.7111111111111111,0.81875,0.7649305555555556,None,None,1.0,None,None,1.0,0.46153846153846156,0.39655172413793105,0.4290450928381963,1.1638795986622075,1.1638795986622075,1.0649867374005306,1.0649867374005306,0.35714285714285715,0.42857142857142855,0.39285714285714285,0.8333333333333334,0.8333333333333334,0.9285714285714286,0.9285714285714286,0.3870967741935484,0.4339622641509434,0.4105295191722459,None,None,1.0,None,None,1.0
UniversalGP,,1,0.6856287425149701,0.8291666666666667,0.3191489361702128,0.5741578014184398,0.16302317247294806,0.9374811235276352,0.9374811235276352,0.9503716135219372,0.5520833333333334,0.7394957983193278,0.6457895658263306,0.7465672348484849,0.7465672348484849,0.8125875350140056,0.8125875350140056,0.5116279069767442,0.711340206185567,0.6114840565811557,0.7192450286484665,0.7192450286484665,0.8002877007911772,0.8002877007911772,0.5603448275862069,0.7522935779816514,0.6563192027839291,None,None,1.0,None,None,1.0,0.7454545454545455,0.8540540540540541,0.7997542997542998,0.8728423475258918,0.8728423475258918,0.8914004914004914,0.8914004914004914,0.7619047619047619,0.8356164383561644,0.7987606001304631,0.9117876658860264,0.9117876658860264,0.9262883235485975,0.9262883235485975,0.7575757575757576,0.8563218390804598,0.8069487983281087,None,None,1.0,None,None,1.0,0.2926829268292683,0.33962264150943394,0.3161527841693511,0.8617886178861789,0.8617886178861789,0.9530602853198343,0.9530602853198343,0.2727272727272727,0.3333333333333333,0.303030303030303,0.8181818181818181,0.8181818181818181,0.9393939393939394,0.9393939393939394,0.3,0.3409090909090909,0.32045454545454544,None,None,1.0,None,None,1.0,0.7073170731707317,0.6603773584905661,0.6838472158306489,1.0710801393728222,1.0710801393728222,1.0469397146801656,1.0469397146801656,0.7272727272727273,0.6666666666666667,0.696969696969697,1.0909090909090908,1.0909090909090908,1.0606060606060606,1.0606060606060606,0.7,0.6590909090909092,0.6795454545454546,None,None,1.0,None,None,1.0,0.2545454545454545,0.1459459459459459,0.2002457002457002,1.7441077441077444,1.7441077441077444,1.1085995085995086,1.1085995085995086,0.23809523809523814,0.1643835616438356,0.20123939986953687,1.4484126984126988,1.4484126984126988,1.0737116764514025,1.0737116764514025,0.24242424242424243,0.14367816091954022,0.19305120167189133,None,None,1.0,None,None,1.0,0.5857142857142857,0.8186528497409327,0.7021835677276091,0.7154611211573237,0.7154611211573237,0.7670614359733531,0.7670614359733531,0.5,0.7922077922077922,0.6461038961038961,0.6311475409836065,0.6311475409836065,0.7077922077922078,0.7077922077922078,0.5882352941176471,0.8370786516853933,0.7126569729015202,None,None,1.0,None,None,1.0,0.5384615384615384,0.6,0.5692307692307692,0.8974358974358975,0.8974358974358975,0.9384615384615385,0.9384615384615385,0.45454545454545453,0.6,0.5272727272727272,0.7575757575757576,0.7575757575757576,0.8545454545454545,0.8545454545454545,0.5161290322580645,0.625,0.5705645161290323,None,None,1.0,None,None,1.0
UniversalGP,,0,0.7215568862275449,0.8347826086956521,0.47115384615384615,0.6529682274247491,0.3227778426360836,0.9602425876010782,0.9602425876010782,0.9704260651629073,0.6634615384615384,0.7478260869565218,0.7056438127090301,0.8871869409660107,0.8871869409660107,0.9156354515050167,0.9156354515050167,0.673469387755102,0.7298245614035088,0.7016469745793055,0.9227825745682887,0.9227825745682887,0.9436448263515932,0.9436448263515932,0.6859504132231405,0.7417840375586855,0.7138672253909131,None,None,1.0,None,None,1.0,0.8208955223880597,0.8404907975460123,0.830693159967036,0.9766859134982024,0.9766859134982024,0.9804047248420474,0.9804047248420474,0.8275862068965517,0.835820895522388,0.8317035512094699,0.9901477832512315,0.9901477832512315,0.9917653113741637,0.9917653113741637,0.8421052631578947,0.8311688311688312,0.836637047163363,None,None,1.0,None,None,1.0,0.3783783783783784,0.5223880597014925,0.45038321903993545,0.7243243243243245,0.7243243243243245,0.8559903186768859,0.8559903186768859,0.45,0.47619047619047616,0.4630952380952381,0.9450000000000001,0.9450000000000001,0.9738095238095239,0.9738095238095239,0.4222222222222222,0.5084745762711864,0.46534839924670435,None,None,1.0,None,None,1.0,0.6216216216216216,0.4776119402985075,0.5496167809600645,1.3015202702702702,1.3015202702702702,1.144009681323114,1.144009681323114,0.55,0.5238095238095238,0.536904761904762,1.05,1.05,1.026190476190476,1.026190476190476,0.5777777777777777,0.4915254237288136,0.5346516007532957,None,None,1.0,None,None,1.0,0.17910447761194026,0.1595092024539877,0.16930684003296398,1.1228473019517795,1.1228473019517795,1.0195952751579527,1.0195952751579527,0.1724137931034483,0.16417910447761197,0.16829644879053013,1.050156739811912,1.050156739811912,1.0082346886258362,1.0082346886258362,0.1578947368421053,0.16883116883116878,0.16336295283663704,None,None,1.0,None,None,1.0,0.7051282051282052,0.8106508875739645,0.7578895463510849,0.8698296836982968,0.8698296836982968,0.8944773175542406,0.8944773175542406,0.6857142857142857,0.7924528301886793,0.7390835579514825,0.8653061224489795,0.8653061224489795,0.8932614555256064,0.8932614555256064,0.7111111111111111,0.8152866242038217,0.7631988676574664,None,None,1.0,None,None,1.0,0.46153846153846156,0.4262295081967213,0.4438839848675914,1.0828402366863907,1.0828402366863907,1.0353089533417403,1.0353089533417403,0.35714285714285715,0.4520547945205479,0.40459882583170254,0.7900432900432901,0.7900432900432901,0.9050880626223092,0.9050880626223092,0.3870967741935484,0.4642857142857143,0.42569124423963134,None,None,1.0,None,None,1.0
UniversalGP,,1,0.6976047904191617,0.8291666666666667,0.3617021276595745,0.5954343971631206,0.20569510847587794,0.8865644358687925,0.8865644358687925,0.9107328378486375,0.59375,0.7394957983193278,0.6666228991596639,0.8029119318181818,0.8029119318181818,0.8542542016806722,0.8542542016806722,0.5581395348837209,0.718213058419244,0.6381762966514825,0.7771225102926449,0.7771225102926449,0.8399264764644769,0.8399264764644769,0.5948275862068966,0.7522935779816514,0.673560582094274,None,None,1.0,None,None,1.0,0.7636363636363637,0.8486486486486486,0.8061425061425062,0.8998262883613203,0.8998262883613203,0.914987714987715,0.914987714987715,0.7619047619047619,0.8356164383561644,0.7987606001304631,0.9117876658860264,0.9117876658860264,0.9262883235485975,0.9262883235485975,0.7727272727272727,0.8505747126436781,0.8116509926854754,None,None,1.0,None,None,1.0,0.36585365853658536,0.3584905660377358,0.3621721122871606,1.0205391527599488,1.0205391527599488,1.0073630924988495,1.0073630924988495,0.36363636363636365,0.3611111111111111,0.36237373737373735,1.006993006993007,1.006993006993007,1.0025252525252526,1.0025252525252526,0.36,0.36363636363636365,0.3618181818181818,None,None,1.0,None,None,1.0,0.6341463414634146,0.6415094339622642,0.6378278877128394,0.988522238163558,0.988522238163558,0.9926369075011504,0.9926369075011504,0.6363636363636364,0.6388888888888888,0.6376262626262625,0.9960474308300395,0.9960474308300395,0.9974747474747475,0.9974747474747475,0.64,0.6363636363636364,0.6381818181818182,None,None,1.0,None,None,1.0,0.23636363636363633,0.15135135135135136,0.19385749385749385,1.5616883116883113,1.5616883116883113,1.085012285012285,1.085012285012285,0.23809523809523814,0.1643835616438356,0.20123939986953687,1.4484126984126988,1.4484126984126988,1.0737116764514025,1.0737116764514025,0.2272727272727273,0.14942528735632188,0.18834900731452459,None,None,1.0,None,None,1.0,0.6176470588235294,0.8219895287958116,0.7198182938096704,0.7514050206069689,0.7514050206069689,0.7956575300277179,0.7956575300277179,0.5333333333333333,0.7991266375545851,0.6662299854439593,0.6673952641165756,0.6673952641165756,0.7342066957787482,0.7342066957787482,0.6144578313253012,0.8409090909090909,0.7276834611171961,None,None,1.0,None,None,1.0,0.4642857142857143,0.5957446808510638,0.5300151975683891,0.7793367346938777,0.7793367346938777,0.8685410334346505,0.8685410334346505,0.38461538461538464,0.5806451612903226,0.48263027295285366,0.6623931623931624,0.6623931623931624,0.8039702233250621,0.8039702233250621,0.45454545454545453,0.6190476190476191,0.5367965367965368,None,None,1.0,None,None,1.0
