algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,sensitive-attr-accuracy,0-accuracy_over_1-accuracy,sensitive-attr-accuracyRatio,diff:1-accuracyto0-accuracy,sensitive-attr-accuracyDiff,0-TPR,1-TPR,sensitive-attr-TPR,0-TPR_over_1-TPR,sensitive-attr-TPRRatio,diff:1-TPRto0-TPR,sensitive-attr-TPRDiff,0-TNR,1-TNR,sensitive-attr-TNR,0-TNR_over_1-TNR,sensitive-attr-TNRRatio,diff:1-TNRto0-TNR,sensitive-attr-TNRDiff,0-FPR,1-FPR,sensitive-attr-FPR,0-FPR_over_1-FPR,sensitive-attr-FPRRatio,diff:1-FPRto0-FPR,sensitive-attr-FPRDiff,0-FNR,1-FNR,sensitive-attr-FNR,0-FNR_over_1-FNR,sensitive-attr-FNRRatio,diff:1-FNRto0-FNR,sensitive-attr-FNRDiff,0-PR,1-PR,sensitive-attr-PR,0-PR_over_1-PR,sensitive-attr-PRRatio,diff:1-PRto0-PR,sensitive-attr-PRDiff,0-calibration+,1-calibration+,sensitive-attr-calibration+,0-calibration+_over_1-calibration+,sensitive-attr-calibration+Ratio,diff:1-calibration+to0-calibration+,sensitive-attr-calibration+Diff,0-calibration-,1-calibration-,sensitive-attr-calibration-,0-calibration-_over_1-calibration-,sensitive-attr-calibration-Ratio,diff:1-calibration-to0-calibration-,sensitive-attr-calibration-Diff
GP_input_False,s_as_input=False,0,1.0,1.0,1.0,1.0,1.0,0.7488095238095237,0.7488095238095237,0.8099099099099099,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5666666666666667,0.7567567567567568,0.6617117117117117,0.7488095238095237,0.7488095238095237,0.8099099099099099,0.8099099099099099,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
GP_input_False,s_as_input=False,1,0.9552238805970149,1.0,0.8571428571428571,0.9285714285714286,0.8970310602382005,0.8008898776418242,0.8008898776418242,0.839605734767025,0.9354838709677419,0.9722222222222222,0.953853046594982,0.9622119815668202,0.9622119815668202,0.9632616487455197,0.9632616487455197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8461538461538461,0.875,0.8605769230769231,0.967032967032967,0.967032967032967,0.9711538461538461,0.9711538461538461,0.15384615384615385,0.125,0.13942307692307693,1.2307692307692308,1.2307692307692308,1.0288461538461537,1.0288461538461537,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6451612903225806,0.8055555555555556,0.7253584229390682,0.8008898776418242,0.8008898776418242,0.839605734767025,0.839605734767025,0.9,0.9655172413793104,0.9327586206896552,0.9321428571428572,0.9321428571428572,0.9344827586206896,0.9344827586206896,0.0,0.0,1.0,1.0,1.0,1.0,1.0
GP_input_False,s_as_input=False,2,0.9850746268656716,1.0,0.9565217391304348,0.9782608695652174,0.9670913609804875,0.7299771167048055,0.7299771167048055,0.7858439201451906,1.0,0.9655172413793104,0.9827586206896552,1.0357142857142856,1.0357142857142856,1.0344827586206895,1.0344827586206895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.9285714285714286,1.1666666666666667,1.1666666666666667,1.1428571428571428,1.1428571428571428,0.0,0.1428571428571429,0.07142857142857145,0.0,1.0,0.8571428571428571,0.8571428571428571,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5789473684210527,0.7931034482758621,0.6860254083484574,0.7299771167048055,0.7299771167048055,0.7858439201451906,0.7858439201451906,1.0,0.9565217391304348,0.9782608695652174,1.0454545454545454,1.0454545454545454,1.0434782608695652,1.0434782608695652,0.0,0.0,1.0,1.0,1.0,1.0,1.0
GP_input_False,s_as_input=False,3,0.9701492537313433,1.0,0.9259259259259259,0.962962962962963,0.939060283031685,0.9943181818181819,0.9943181818181819,0.9964285714285714,0.9375,1.0,0.96875,0.9375,0.9375,0.9375,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.9285714285714286,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.1428571428571429,0.0,0.07142857142857145,0.0,1.0,1.1428571428571428,1.1428571428571428,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.625,0.6285714285714286,0.6267857142857143,0.9943181818181819,0.9943181818181819,0.9964285714285714,0.9964285714285714,0.9,1.0,0.95,0.9,0.9,0.9,0.9,0.0,0.0,1.0,1.0,1.0,1.0,1.0
GP_input_False,s_as_input=False,4,1.0,1.0,1.0,1.0,1.0,0.6739130434782609,0.6739130434782609,0.7580645161290323,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.7419354838709677,0.6209677419354839,0.6739130434782609,0.6739130434782609,0.7580645161290323,0.7580645161290323,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
GP_input_False,s_as_input=False,5,0.9850746268656716,0.9736842105263158,1.0,0.986842105263158,0.9701690935993779,0.6693766937669378,0.6693766937669378,0.7711069418386491,1.0,0.9615384615384616,0.9807692307692308,1.04,1.04,1.0384615384615383,1.0384615384615383,1.0,0.9473684210526315,0.9736842105263157,1.0555555555555556,1.0555555555555556,1.0526315789473686,1.0526315789473686,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.052631578947368474,0.026315789473684237,0.0,1.0,0.9473684210526315,0.9473684210526315,0.4634146341463415,0.6923076923076923,0.5778611632270169,0.6693766937669378,0.6693766937669378,0.7711069418386491,0.7711069418386491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.125,0.0625,0.0,1.0,0.875,0.875
GP_input_False,s_as_input=False,6,1.0,1.0,1.0,1.0,1.0,0.7238095238095238,0.7238095238095238,0.7928571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5428571428571428,0.75,0.6464285714285714,0.7238095238095238,0.7238095238095238,0.7928571428571428,0.7928571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
GP_input_False,s_as_input=False,7,0.9552238805970149,1.0,0.8846153846153846,0.9423076923076923,0.90791007225424,0.6948571428571428,0.6948571428571428,0.7616071428571428,0.9428571428571428,0.96875,0.9558035714285714,0.9732718894009217,0.9732718894009217,0.9741071428571428,0.9741071428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.875,0.8819444444444444,1.0158730158730158,1.0158730158730158,1.0138888888888888,1.0138888888888888,0.11111111111111116,0.125,0.11805555555555558,0.8888888888888893,0.8888888888888893,0.9861111111111112,0.9861111111111112,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5428571428571428,0.78125,0.6620535714285714,0.6948571428571428,0.6948571428571428,0.7616071428571428,0.7616071428571428,0.8947368421052632,0.96,0.9273684210526316,0.9320175438596492,0.9320175438596492,0.9347368421052632,0.9347368421052632,0.0,0.0,1.0,1.0,1.0,1.0,1.0
GP_input_False,s_as_input=False,8,1.0,1.0,1.0,1.0,1.0,0.7534722222222223,0.7534722222222223,0.8091397849462366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5833333333333334,0.7741935483870968,0.678763440860215,0.7534722222222223,0.7534722222222223,0.8091397849462366,0.8091397849462366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
GP_input_False,s_as_input=False,9,0.9850746268656716,1.0,0.9615384615384616,0.9807692307692308,0.9688367708983224,0.6081081081081081,0.6081081081081081,0.6864864864864865,0.972972972972973,1.0,0.9864864864864865,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,0.975,0.95,0.95,0.95,0.95,0.050000000000000044,0.0,0.025000000000000022,0.0,1.0,1.05,1.05,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.4864864864864865,0.8,0.6432432432432433,0.6081081081081081,0.6081081081081081,0.6864864864864865,0.6864864864864865,0.9444444444444444,1.0,0.9722222222222222,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.0,0.0,1.0,1.0,1.0,1.0,1.0
