algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,race-accuracy,0-accuracy_over_1-accuracy,race-accuracyRatio,diff:1-accuracyto0-accuracy,race-accuracyDiff,0-TPR,1-TPR,race-TPR,0-TPR_over_1-TPR,race-TPRRatio,diff:1-TPRto0-TPR,race-TPRDiff,0-TNR,1-TNR,race-TNR,0-TNR_over_1-TNR,race-TNRRatio,diff:1-TNRto0-TNR,race-TNRDiff,0-FPR,1-FPR,race-FPR,0-FPR_over_1-FPR,race-FPRRatio,diff:1-FPRto0-FPR,race-FPRDiff,0-FNR,1-FNR,race-FNR,0-FNR_over_1-FNR,race-FNRRatio,diff:1-FNRto0-FNR,race-FNRDiff,0-PR,1-PR,race-PR,0-PR_over_1-PR,race-PRRatio,diff:1-PRto0-PR,race-PRDiff,0-calibration+,1-calibration+,race-calibration+,0-calibration+_over_1-calibration+,race-calibration+Ratio,diff:1-calibration+to0-calibration+,race-calibration+Diff,0-calibration-,1-calibration-,race-calibration-,0-calibration-_over_1-calibration-,race-calibration-Ratio,diff:1-calibration-to0-calibration-,race-calibration-Diff
GP_input_False,s_as_input=False,0,0.95,1.0,0.9047619047619048,0.9523809523809523,0.9047619047619048,0.5208333333333333,0.5208333333333333,0.6933333333333334,1.0,0.92,0.96,1.0869565217391304,1.0869565217391304,1.08,1.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8181818181818182,0.9090909090909092,1.222222222222222,1.222222222222222,1.1818181818181817,1.1818181818181817,0.0,0.18181818181818177,0.09090909090909088,0.0,1.0,0.8181818181818182,0.8181818181818182,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.64,0.4866666666666667,0.5208333333333333,0.5208333333333333,0.6933333333333334,0.6933333333333334,1.0,0.875,0.9375,1.1428571428571428,1.1428571428571428,1.125,1.125,0.0,0.0,1.0,1.0,1.0,1.0,1.0
GP_input_False,s_as_input=False,1,0.975,0.9285714285714286,1.0,0.9642857142857143,0.9456108576893004,0.09210526315789473,0.09210526315789473,0.48120300751879697,0.9473684210526315,1.0,0.9736842105263157,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.5,1.0,0.75,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.25,0.0,1.0,1.5,1.5,0.05263157894736842,0.5714285714285714,0.3120300751879699,0.09210526315789473,0.09210526315789473,0.48120300751879697,0.48120300751879697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05555555555555555,0.0,0.027777777777777776,0.0,1.0,1.0555555555555556,1.0555555555555556
GP_input_False,s_as_input=False,2,1.0,1.0,1.0,1.0,1.0,0.6764705882352942,0.6764705882352942,0.7749360613810742,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.47058823529411764,0.6956521739130435,0.5831202046035806,0.6764705882352942,0.6764705882352942,0.7749360613810742,0.7749360613810742,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
GP_input_False,s_as_input=False,3,0.95,0.8666666666666667,1.0,0.9333333333333333,0.8958064164776166,0.16450216450216448,0.16450216450216448,0.5162907268170426,0.9523809523809523,0.9473684210526315,0.949874686716792,1.0052910052910053,1.0052910052910053,1.0050125313283207,1.0050125313283207,0.6666666666666666,0.9166666666666666,0.7916666666666666,0.7272727272727273,0.7272727272727273,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.33333333333333337,0.08333333333333337,0.20833333333333337,3.9999999999999987,3.9999999999999987,1.25,1.25,0.09523809523809523,0.5789473684210527,0.33709273182957394,0.16450216450216448,0.16450216450216448,0.5162907268170426,0.5162907268170426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05263157894736842,0.125,0.08881578947368421,0.42105263157894735,0.42105263157894735,0.9276315789473684,0.9276315789473684
GP_input_False,s_as_input=False,4,0.975,1.0,0.9444444444444444,0.9722222222222222,0.9504639091054837,0.7291666666666666,0.7291666666666666,0.8266666666666667,1.0,0.96,0.98,1.0416666666666667,1.0416666666666667,1.04,1.04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.95,1.1111111111111112,1.1111111111111112,1.1,1.1,0.0,0.09999999999999998,0.04999999999999999,0.0,1.0,0.9,0.9,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,0.64,0.5533333333333333,0.7291666666666666,0.7291666666666666,0.8266666666666667,0.8266666666666667,1.0,0.9375,0.96875,1.0666666666666667,1.0666666666666667,1.0625,1.0625,0.0,0.0,1.0,1.0,1.0,1.0,1.0
GP_input_False,s_as_input=False,5,0.975,0.9375,1.0,0.96875,0.9486832980505139,0.6111111111111112,0.6111111111111112,0.8232323232323233,1.0,0.9545454545454546,0.9772727272727273,1.0476190476190477,1.0476190476190477,1.0454545454545454,1.0454545454545454,1.0,0.9090909090909091,0.9545454545454546,1.1,1.1,1.0909090909090908,1.0909090909090908,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.09090909090909094,0.04545454545454547,0.0,1.0,0.9090909090909091,0.9090909090909091,0.2777777777777778,0.45454545454545453,0.36616161616161613,0.6111111111111112,0.6111111111111112,0.8232323232323233,0.8232323232323233,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.08333333333333333,0.041666666666666664,0.0,1.0,0.9166666666666666,0.9166666666666666
GP_input_False,s_as_input=False,6,0.875,1.0,0.8076923076923077,0.9038461538461539,0.7714542762891773,0.4615384615384615,0.4615384615384615,0.6499999999999999,0.95,0.8,0.875,1.1874999999999998,1.1874999999999998,1.15,1.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.6363636363636364,0.7848484848484849,1.4666666666666668,1.4666666666666668,1.2969696969696969,1.2969696969696969,0.06666666666666665,0.36363636363636365,0.21515151515151515,0.1833333333333333,0.1833333333333333,0.703030303030303,0.703030303030303,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.3,0.65,0.475,0.4615384615384615,0.4615384615384615,0.6499999999999999,0.6499999999999999,0.8333333333333334,0.6923076923076923,0.7628205128205128,1.2037037037037037,1.2037037037037037,1.141025641025641,1.141025641025641,0.0,0.0,1.0,1.0,1.0,1.0,1.0
GP_input_False,s_as_input=False,7,1.0,1.0,1.0,1.0,1.0,0.5526315789473685,0.5526315789473685,0.7443609022556391,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.3157894736842105,0.5714285714285714,0.44360902255639095,0.5526315789473685,0.5526315789473685,0.7443609022556391,0.7443609022556391,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
GP_input_False,s_as_input=False,8,0.975,1.0,0.9375,0.96875,0.9486832980505139,0.7222222222222222,0.7222222222222222,0.8076923076923077,1.0,0.9615384615384616,0.9807692307692308,1.04,1.04,1.0384615384615383,1.0384615384615383,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.9444444444444444,1.125,1.125,1.1111111111111112,1.1111111111111112,0.0,0.11111111111111116,0.05555555555555558,0.0,1.0,0.8888888888888888,0.8888888888888888,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6923076923076923,0.5961538461538461,0.7222222222222222,0.7222222222222222,0.8076923076923077,0.8076923076923077,1.0,0.9444444444444444,0.9722222222222222,1.0588235294117647,1.0588235294117647,1.0555555555555556,1.0555555555555556,0.0,0.0,1.0,1.0,1.0,1.0,1.0
GP_input_False,s_as_input=False,9,0.925,1.0,0.85,0.925,0.8597269536210952,0.65625,0.65625,0.7708333333333334,0.9375,0.9166666666666666,0.9270833333333333,1.0227272727272727,1.0227272727272727,1.0208333333333335,1.0208333333333335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.8500000000000001,1.125,1.125,1.1,1.1,0.09999999999999998,0.19999999999999996,0.14999999999999997,0.5,0.5,0.9,0.9,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.4375,0.6666666666666666,0.5520833333333333,0.65625,0.65625,0.7708333333333334,0.7708333333333334,0.8571428571428571,0.875,0.8660714285714286,0.9795918367346939,0.9795918367346939,0.9821428571428571,0.9821428571428571,0.0,0.0,1.0,1.0,1.0,1.0,1.0
