algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,sex-accuracy,0-accuracy_over_1-accuracy,sex-accuracyRatio,diff:1-accuracyto0-accuracy,sex-accuracyDiff,0-accuracy,1-accuracy,race-accuracy,0-accuracy_over_1-accuracy,race-accuracyRatio,diff:1-accuracyto0-accuracy,race-accuracyDiff,0-accuracy,1-accuracy,sex-race-accuracy,0-accuracy_over_1-1-accuracy,1-accuracy_over_1-1-accuracy,sex-race-accuracyRatio,diff:1-1-accuracyto0-accuracy,diff:1-1-accuracyto1-accuracy,sex-race-accuracyDiff,0-TPR,1-TPR,sex-TPR,0-TPR_over_1-TPR,sex-TPRRatio,diff:1-TPRto0-TPR,sex-TPRDiff,0-TPR,1-TPR,race-TPR,0-TPR_over_1-TPR,race-TPRRatio,diff:1-TPRto0-TPR,race-TPRDiff,0-TPR,1-TPR,sex-race-TPR,0-TPR_over_1-1-TPR,1-TPR_over_1-1-TPR,sex-race-TPRRatio,diff:1-1-TPRto0-TPR,diff:1-1-TPRto1-TPR,sex-race-TPRDiff,0-TNR,1-TNR,sex-TNR,0-TNR_over_1-TNR,sex-TNRRatio,diff:1-TNRto0-TNR,sex-TNRDiff,0-TNR,1-TNR,race-TNR,0-TNR_over_1-TNR,race-TNRRatio,diff:1-TNRto0-TNR,race-TNRDiff,0-TNR,1-TNR,sex-race-TNR,0-TNR_over_1-1-TNR,1-TNR_over_1-1-TNR,sex-race-TNRRatio,diff:1-1-TNRto0-TNR,diff:1-1-TNRto1-TNR,sex-race-TNRDiff,0-FPR,1-FPR,sex-FPR,0-FPR_over_1-FPR,sex-FPRRatio,diff:1-FPRto0-FPR,sex-FPRDiff,0-FPR,1-FPR,race-FPR,0-FPR_over_1-FPR,race-FPRRatio,diff:1-FPRto0-FPR,race-FPRDiff,0-FPR,1-FPR,sex-race-FPR,0-FPR_over_1-1-FPR,1-FPR_over_1-1-FPR,sex-race-FPRRatio,diff:1-1-FPRto0-FPR,diff:1-1-FPRto1-FPR,sex-race-FPRDiff,0-FNR,1-FNR,sex-FNR,0-FNR_over_1-FNR,sex-FNRRatio,diff:1-FNRto0-FNR,sex-FNRDiff,0-FNR,1-FNR,race-FNR,0-FNR_over_1-FNR,race-FNRRatio,diff:1-FNRto0-FNR,race-FNRDiff,0-FNR,1-FNR,sex-race-FNR,0-FNR_over_1-1-FNR,1-FNR_over_1-1-FNR,sex-race-FNRRatio,diff:1-1-FNRto0-FNR,diff:1-1-FNRto1-FNR,sex-race-FNRDiff,0-calibration+,1-calibration+,sex-calibration+,0-calibration+_over_1-calibration+,sex-calibration+Ratio,diff:1-calibration+to0-calibration+,sex-calibration+Diff,0-calibration+,1-calibration+,race-calibration+,0-calibration+_over_1-calibration+,race-calibration+Ratio,diff:1-calibration+to0-calibration+,race-calibration+Diff,0-calibration+,1-calibration+,sex-race-calibration+,0-calibration+_over_1-1-calibration+,1-calibration+_over_1-1-calibration+,sex-race-calibration+Ratio,diff:1-1-calibration+to0-calibration+,diff:1-1-calibration+to1-calibration+,sex-race-calibration+Diff,0-calibration-,1-calibration-,sex-calibration-,0-calibration-_over_1-calibration-,sex-calibration-Ratio,diff:1-calibration-to0-calibration-,sex-calibration-Diff,0-calibration-,1-calibration-,race-calibration-,0-calibration-_over_1-calibration-,race-calibration-Ratio,diff:1-calibration-to0-calibration-,race-calibration-Diff,0-calibration-,1-calibration-,sex-race-calibration-,0-calibration-_over_1-1-calibration-,1-calibration-_over_1-1-calibration-,sex-race-calibration-Ratio,diff:1-1-calibration-to0-calibration-,diff:1-1-calibration-to1-calibration-,sex-race-calibration-Diff
UniversalGP,,0,0.4995136186770428,0.48739495798319327,0.509963768115942,0.4986793630495676,-0.0026347054026957498,0.9598037017004604,0.9598037017004604,0.9802106876574961,0.5164835164835165,0.4958628841607565,0.5061732003221365,1.041585351478081,1.041585351478081,1.02062063232276,1.02062063232276,0.5052395209580839,0.4888888888888889,0.49706420492348635,1.0334444746869897,1.0334444746869897,1.016350632069195,1.016350632069195,0.5040431266846361,0.48776223776223776,0.4959026822234369,None,None,1.0,None,None,1.0,0.4846153846153846,0.4878345498783455,0.48622496724686504,0.9934011126031076,0.9934011126031076,0.996780834737039,0.996780834737039,0.5014836795252225,0.45323741007194246,0.4773605447985825,1.1064481183175545,1.1064481183175545,1.0482462694532801,1.0482462694532801,0.49726027397260275,0.45495495495495497,0.47610761446377886,None,None,1.0,None,None,1.0,0.5341880341880342,0.503448275862069,0.5188181550250516,1.0610584240721226,1.0610584240721226,1.0307397583259652,1.0307397583259652,0.5090634441087614,0.5113122171945701,0.5101878306516657,0.9956019570622678,0.9956019570622678,0.9977512269141913,0.9977512269141913,0.5106100795755968,0.5085714285714286,0.5095907540735127,None,None,1.0,None,None,1.0,0.4658119658119658,0.496551724137931,0.4811818449749484,0.9380935422602089,0.9380935422602089,0.9692602416740348,0.9692602416740348,0.49093655589123864,0.4886877828054299,0.48981216934833427,1.0046016560367013,1.0046016560367013,1.0022487730858087,1.0022487730858087,0.4893899204244032,0.49142857142857144,0.4904092459264873,None,None,1.0,None,None,1.0,0.5153846153846153,0.5121654501216545,0.513775032753135,1.0062854010597477,1.0062854010597477,1.0032191652629607,1.0032191652629607,0.49851632047477745,0.5467625899280575,0.5226394552014175,0.9117601124472905,0.9117601124472905,0.95175373054672,0.95175373054672,0.5027397260273972,0.545045045045045,0.5238923855362212,None,None,1.0,None,None,1.0,0.36627906976744184,0.48139255702280914,0.4238358133951255,0.7608739778460825,0.7608739778460825,0.8848865127446327,0.8848865127446327,0.5098039215686274,0.3684210526315789,0.4391124871001032,1.3837535014005602,1.3837535014005602,1.1413828689370484,1.1413828689370484,0.4959016393442623,0.36996336996337,0.43293250465381616,None,None,1.0,None,None,1.0,0.3489583333333333,0.490104772991851,0.41953155316259216,0.7120076207442596,0.7120076207442596,0.8588535603414823,0.8588535603414823,0.49925705794947994,0.4021164021164021,0.450686730032941,1.2415734730585752,1.2415734730585752,1.0971406558330778,1.0971406558330778,0.488031914893617,0.40468227424749165,0.44635709457055434,None,None,1.0,None,None,1.0
UniversalGP,,1,0.5204280155642024,0.5130890052356021,0.5267938237965486,0.5199414145160753,0.03978758496554265,1.0536680496338644,1.0536680496338644,1.0261270205702586,0.49740932642487046,0.525748502994012,0.5115789147094412,0.9460974659789677,0.9460974659789677,0.9716608234308585,0.9716608234308585,0.5248538011695907,0.5116279069767442,0.5182408540731674,1.0258506113769272,1.0258506113769272,1.0132258941928465,1.0132258941928465,0.5217678100263852,0.5166666666666667,0.5192172383465259,None,None,1.0,None,None,1.0,0.5149253731343284,0.51278928136419,0.5138573272492593,1.004165632644379,1.004165632644379,1.0021360917701383,1.0021360917701383,0.522189349112426,0.4910394265232975,0.5066143878178617,1.0634367036669112,1.0634367036669112,1.0311499225891285,1.0311499225891285,0.518970189701897,0.4930875576036866,0.5060288736527918,None,None,1.0,None,None,1.0,0.4880952380952381,0.5382803297997645,0.5131877839475013,0.9067677399187245,0.9067677399187245,0.9498149082954737,0.9498149082954737,0.5274566473988439,0.5256723716381418,0.5265645095184929,1.0033942734238472,1.0033942734238472,1.001784275760702,1.001784275760702,0.5244215938303342,0.5325077399380805,0.5284646668842073,None,None,1.0,None,None,1.0,0.5119047619047619,0.4617196702002355,0.4868122160524987,1.1086916909620992,1.1086916909620992,1.0501850917045263,1.0501850917045263,0.4725433526011561,0.47432762836185816,0.4734354904815071,0.9962383052261488,0.9962383052261488,0.9982157242392979,0.9982157242392979,0.47557840616966585,0.46749226006191946,0.47153533311579265,None,None,1.0,None,None,1.0,0.4850746268656716,0.48721071863581,0.4861426727507408,0.9956156716417909,0.9956156716417909,0.9978639082298616,0.9978639082298616,0.477810650887574,0.5089605734767024,0.4933856121821382,0.9387969830819237,0.9387969830819237,0.9688500774108716,0.9688500774108716,0.481029810298103,0.5069124423963134,0.4939711263472082,None,None,1.0,None,None,1.0,0.3484848484848485,0.5178351783517835,0.433160013418316,0.6729648024184842,0.6729648024184842,0.830649670133065,0.830649670133065,0.5191176470588236,0.41389728096676737,0.46650746401279547,1.2542185487333621,1.2542185487333621,1.1052203660920563,1.1052203660920563,0.5086321381142098,0.41472868217054265,0.46168041014237626,None,None,1.0,None,None,1.0,0.34574468085106386,0.46674445740956827,0.40624456913031604,0.7407579787234043,0.7407579787234043,0.8790002234414955,0.8790002234414955,0.4694767441860465,0.39775910364145656,0.43361792391375154,1.180304208974779,1.180304208974779,1.0717176405445898,1.0717176405445898,0.46526867627785057,0.3900709219858156,0.4276697991318331,None,None,1.0,None,None,1.0
UniversalGP,,0,0.49319066147859925,0.49369747899159666,0.4927536231884058,0.4932255510900012,-0.013511845966121048,1.1340181557572864,1.1340181557572864,1.0655833528173955,0.4230769230769231,0.508274231678487,0.46567557737770504,0.8323792486583185,0.8323792486583185,0.9148026913984362,0.9148026913984362,0.49101796407185627,0.49722222222222223,0.49412009314703925,0.9875221623791522,0.9875221623791522,0.993795741849634,0.993795741849634,0.48517520215633425,0.513986013986014,0.4995806080711741,None,None,1.0,None,None,1.0,0.46923076923076923,0.4975669099756691,0.48339883960321917,0.9430505924393455,0.9430505924393455,0.9716638592551001,0.9716638592551001,0.49554896142433236,0.4892086330935252,0.49237879725892875,1.01296037702915,1.01296037702915,1.0063403283308072,1.0063403283308072,0.4917808219178082,0.5,0.49589041095890407,None,None,1.0,None,None,1.0,0.3974358974358974,0.5183908045977011,0.4579133510167993,0.7666723520382056,0.7666723520382056,0.8790450928381963,0.8790450928381963,0.486404833836858,0.502262443438914,0.49433363863788604,0.9684276421436543,0.9684276421436543,0.984142390397944,0.984142390397944,0.47877984084880637,0.5228571428571429,0.5008184918529747,None,None,1.0,None,None,1.0,0.6025641025641026,0.48160919540229885,0.5420866489832008,1.2511474205984947,1.2511474205984947,1.1209549071618037,1.1209549071618037,0.5135951661631419,0.497737556561086,0.505666361362114,1.0318593792914033,1.0318593792914033,1.015857609602056,1.015857609602056,0.5212201591511936,0.4771428571428571,0.49918150814702533,None,None,1.0,None,None,1.0,0.5307692307692308,0.5024330900243309,0.5166011603967808,1.0563978394486868,1.0563978394486868,1.0283361407448999,1.0283361407448999,0.5044510385756676,0.5107913669064748,0.5076212027410711,0.9875872445354621,0.9875872445354621,0.9936596716691929,0.9936596716691929,0.5082191780821919,0.5,0.5041095890410959,None,None,1.0,None,None,1.0,0.30198019801980197,0.4939613526570048,0.3979707753384034,0.6113437749642935,0.6113437749642935,0.8080188453627972,0.8080188453627972,0.49554896142433236,0.38202247191011235,0.4387857166672223,1.2971722813754583,1.2971722813754583,1.11352648951422,1.11352648951422,0.4773936170212766,0.39928057553956836,0.4383370962804225,None,None,1.0,None,None,1.0,0.42592592592592593,0.47800925925925924,0.45196759259259256,0.891041162227603,0.891041162227603,0.9479166666666667,0.9479166666666667,0.513595166163142,0.3901098901098901,0.4518525281365161,1.3165397217139698,1.3165397217139698,1.1234852760532519,1.1234852760532519,0.5068306010928961,0.37755102040816324,0.4421908107505297,None,None,1.0,None,None,1.0
UniversalGP,,1,0.5092412451361867,0.518324607329843,0.5013623978201635,0.5098435025750032,0.019639683947072013,1.0188858570683998,1.0188858570683998,1.0095560174986815,0.5207253886010362,0.5065868263473053,0.5136561074741708,1.0279094550398706,1.0279094550398706,1.014138562253731,1.014138562253731,0.5073099415204678,0.5130813953488372,0.5101956684346525,0.9887513874393253,0.9887513874393253,0.9942285461716306,0.9942285461716306,0.5112137203166227,0.5037037037037037,0.5074587120101632,None,None,1.0,None,None,1.0,0.5522388059701493,0.51278928136419,0.5325140436671696,1.0769312581983197,1.0769312581983197,1.0394495246059594,1.0394495246059594,0.5192307692307693,0.5161290322580645,0.5176799007444168,1.0060096153846154,1.0060096153846154,1.0031017369727047,1.0031017369727047,0.5230352303523035,0.5023041474654378,0.5126696889088707,None,None,1.0,None,None,1.0,0.503968253968254,0.5005889281507656,0.5022785910595098,1.006750700280112,1.006750700280112,1.0033793258174883,1.0033793258174883,0.4956647398843931,0.511002444987775,0.503333592436084,0.9699850651326162,0.9699850651326162,0.984662294896618,0.984662294896618,0.5,0.5046439628482973,0.5023219814241486,None,None,1.0,None,None,1.0,0.49603174603174605,0.4994110718492344,0.4977214089404902,0.9932333782569632,0.9932333782569632,0.9966206741825117,0.9966206741825117,0.5043352601156069,0.48899755501222497,0.49666640756391595,1.031365606936416,1.031365606936416,1.015337705103382,1.015337705103382,0.5,0.49535603715170273,0.49767801857585137,None,None,1.0,None,None,1.0,0.4477611940298507,0.48721071863581,0.46748595633283035,0.9190298507462685,0.9190298507462685,0.9605504753940407,0.9605504753940407,0.4807692307692307,0.4838709677419355,0.4823200992555831,0.9935897435897435,0.9935897435897435,0.9968982630272952,0.9968982630272952,0.4769647696476965,0.49769585253456217,0.48733031109112934,None,None,1.0,None,None,1.0,0.37185929648241206,0.4982248520710059,0.435042074276709,0.7463684216808508,0.7463684216808508,0.8736344444114061,0.8736344444114061,0.5014285714285714,0.4186046511627907,0.46001661129568105,1.1978571428571427,1.1978571428571427,1.0828239202657808,1.0828239202657808,0.49806451612903224,0.4052044609665427,0.4516344885477875,None,None,1.0,None,None,1.0,0.32085561497326204,0.48484848484848486,0.4028520499108734,0.6617647058823529,0.6617647058823529,0.8360071301247771,0.8360071301247771,0.4865269461077844,0.39244186046511625,0.43948440328645033,1.2397427367487248,1.2397427367487248,1.0940850856426683,1.0940850856426683,0.4750337381916329,0.3985239852398524,0.43677886171574265,None,None,1.0,None,None,1.0
