algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,race-accuracy,0-accuracy_over_1-accuracy,race-accuracyRatio,diff:1-accuracyto0-accuracy,race-accuracyDiff,0-accuracy,1-accuracy,sex-accuracy,0-accuracy_over_1-accuracy,sex-accuracyRatio,diff:1-accuracyto0-accuracy,sex-accuracyDiff,0-TPR,1-TPR,race-TPR,0-TPR_over_1-TPR,race-TPRRatio,diff:1-TPRto0-TPR,race-TPRDiff,0-TPR,1-TPR,sex-TPR,0-TPR_over_1-TPR,sex-TPRRatio,diff:1-TPRto0-TPR,sex-TPRDiff,0-TNR,1-TNR,race-TNR,0-TNR_over_1-TNR,race-TNRRatio,diff:1-TNRto0-TNR,race-TNRDiff,0-TNR,1-TNR,sex-TNR,0-TNR_over_1-TNR,sex-TNRRatio,diff:1-TNRto0-TNR,sex-TNRDiff,0-FPR,1-FPR,race-FPR,0-FPR_over_1-FPR,race-FPRRatio,diff:1-FPRto0-FPR,race-FPRDiff,0-FPR,1-FPR,sex-FPR,0-FPR_over_1-FPR,sex-FPRRatio,diff:1-FPRto0-FPR,sex-FPRDiff,0-FNR,1-FNR,race-FNR,0-FNR_over_1-FNR,race-FNRRatio,diff:1-FNRto0-FNR,race-FNRDiff,0-FNR,1-FNR,sex-FNR,0-FNR_over_1-FNR,sex-FNRRatio,diff:1-FNRto0-FNR,sex-FNRDiff,0-calibration+,1-calibration+,race-calibration+,0-calibration+_over_1-calibration+,race-calibration+Ratio,diff:1-calibration+to0-calibration+,race-calibration+Diff,0-calibration+,1-calibration+,sex-calibration+,0-calibration+_over_1-calibration+,sex-calibration+Ratio,diff:1-calibration+to0-calibration+,sex-calibration+Diff,0-calibration-,1-calibration-,race-calibration-,0-calibration-_over_1-calibration-,race-calibration-Ratio,diff:1-calibration-to0-calibration-,race-calibration-Diff,0-calibration-,1-calibration-,sex-calibration-,0-calibration-_over_1-calibration-,sex-calibration-Ratio,diff:1-calibration-to0-calibration-,sex-calibration-Diff
UniversalGP,s_as_input=True,0,0.4998010741993236,0.5084812623274162,0.49687458438622156,0.5026779233568188,0.004651635529777002,1.0274893097128894,1.0274893097128894,1.0137446548564446,0.47619047619047616,0.5035101852917482,0.48985033074111217,0.9457414965986394,0.9457414965986394,0.972680290898728,0.972680290898728,0.4871716554673183,0.5058997050147492,0.4965356802410338,0.9629807067254863,0.9629807067254863,0.9812719504525691,0.9812719504525691,0.49765258215962443,0.5094745908699397,0.5035635865147821,0.9767956853547319,0.9767956853547319,0.9881779912896846,0.9881779912896846,0.5040431266846361,0.5092421441774492,0.5066426354310427,0.9897906770830786,0.9897906770830786,0.994800982507187,0.994800982507187,0.4722222222222222,0.5013350086382912,0.4867786154302567,0.9419294764689502,0.9419294764689502,0.970887213583931,0.970887213583931,0.48501550120564935,0.5043327556325823,0.49467412841911584,0.9616974027342258,0.9616974027342258,0.9806827455730671,0.9806827455730671,0.5277777777777778,0.49866499136170883,0.5132213845697433,1.0583814523184603,1.0583814523184603,1.029112786416069,1.029112786416069,0.5149844987943506,0.4956672443674177,0.5053258715808842,1.0389722230920988,1.0389722230920988,1.0193172544269329,1.0193172544269329,0.5023474178403755,0.49052540913006026,0.4964364134852179,1.0241007060802036,1.0241007060802036,1.0118220087103151,1.0118220087103151,0.49595687331536387,0.4907578558225508,0.49335736456895735,1.0105938548535287,1.0105938548535287,1.0051990174928132,1.0051990174928132,0.1484593837535014,0.2714547957778798,0.2099570897656906,0.546902784782552,0.546902784782552,0.8770045879756216,0.8770045879756216,0.11117717003567182,0.3250737463126844,0.2181254581741781,0.34200599493732076,0.34200599493732076,0.7861034237229875,0.7861034237229875,0.16436251920122888,0.2629877626414223,0.2136751409213256,0.6249816248116964,0.6249816248116964,0.9013747565598066,0.9013747565598066,0.11557788944723618,0.31327433628318585,0.21442611286521102,0.36893507083439797,0.36893507083439797,0.8023035531640503,0.8023035531640503
UniversalGP,s_as_input=True,1,0.8350905112393078,0.5590457256461233,0.9271786709112615,0.7431121982786923,0.5320758310172922,0.7004945532939099,0.7004945532939099,0.9354181684400217,0.8765690376569037,0.8281902552204177,0.8523796464386607,1.0584150587760905,1.0584150587760905,1.048378782436486,1.048378782436486,0.9044585987261147,0.8012431552464111,0.8528508769862628,1.1288191266332392,1.1288191266332392,1.1032154434797037,1.1032154434797037,0.5194805194805194,0.5630472854640981,0.5412639024723087,0.9226232554381854,0.9226232554381854,0.9564332340164213,0.9564332340164213,0.7621776504297995,0.5263157894736842,0.6442467199517419,1.448137535816619,1.448137535816619,1.2358618609561152,1.2358618609561152,0.9451371571072319,0.9237689393939394,0.9344530482505857,1.0231315611534975,1.0231315611534975,1.0213682177132926,1.0213682177132926,0.921302578018996,0.9309518623393597,0.9261272201791778,0.9896350340863852,0.9896350340863852,0.9903507156796363,0.9903507156796363,0.054862842892768104,0.07623106060606055,0.06554695174941433,0.7196914545933312,0.7196914545933312,0.9786317822867076,0.9786317822867076,0.07869742198100405,0.06904813766064033,0.07387277982082219,1.1397472060403466,1.1397472060403466,1.0096492843203637,1.0096492843203637,0.48051948051948057,0.4369527145359019,0.45873609752769123,1.0997059053171279,1.0997059053171279,1.0435667659835786,1.0435667659835786,0.23782234957020054,0.4736842105263158,0.3557532800482582,0.5020694046482012,0.5020694046482012,0.7641381390438847,0.7641381390438847,0.6451612903225806,0.7269643866591294,0.686062838490855,0.8874730346661316,0.8874730346661316,0.9181969036634512,0.9181969036634512,0.5341365461847389,0.7824296499656829,0.6582830980752109,0.6826639892904953,0.6826639892904953,0.7517068962190561,0.7517068962190561,0.0889423076923077,0.14567216464749672,0.11730723616990221,0.610564879759519,0.610564879759519,0.9432701430448109,0.9432701430448109,0.02965344765987853,0.19358490566037737,0.11161917666012795,0.1531805775802692,0.1531805775802692,0.8360685419995012,0.8360685419995012
UniversalGP,s_as_input=True,2,0.49562363238512036,0.49572317262830484,0.4955894145950281,0.49565629361166647,-0.007581062289535971,1.0042046505271294,1.0042046505271294,1.002108584046725,0.5011086474501109,0.49477071600965405,0.49793968172988246,1.0128098354154274,1.0128098354154274,1.0063379314404568,1.0063379314404568,0.5002997601918465,0.49330157785055073,0.4968006690211986,1.0141864179145519,1.0141864179145519,1.0069981823412957,1.0069981823412957,0.539906103286385,0.4917337855023315,0.5158199443943583,1.0979642221142951,1.0979642221142951,1.0481723177840534,1.0481723177840534,0.5164556962025316,0.4919614147909968,0.5042085554967642,1.049789029535865,1.049789029535865,1.0244942814115348,1.0244942814115348,0.493859649122807,0.49590034689372436,0.49487999800826565,0.9958848631913647,0.9958848631913647,0.9979593022290827,0.9979593022290827,0.4981298877932676,0.4939440651838802,0.4960369764885739,1.0084742846496784,1.0084742846496784,1.0041858226093874,1.0041858226093874,0.506140350877193,0.5040996531062756,0.5051200019917343,1.0040482030851292,1.0040482030851292,1.0020406977709175,1.0020406977709175,0.5018701122067324,0.5060559348161198,0.5039630235114261,0.991728537654818,0.991728537654818,0.9958141773906126,0.9958141773906126,0.460093896713615,0.5082662144976685,0.48418005560564176,0.905222270514944,0.905222270514944,0.9518276822159465,0.9518276822159465,0.4835443037974684,0.5080385852090032,0.4957914445032358,0.9517865726646371,0.9517865726646371,0.9755057185884651,0.9755057185884651,0.16618497109826588,0.2662382373192564,0.21621160420876112,0.6241964819613314,0.6241964819613314,0.8999467337790095,0.8999467337790095,0.12142857142857143,0.3178984861976848,0.21966352881312812,0.38197278911564625,0.38197278911564625,0.8035300852308866,0.8035300852308866,0.14826021180030258,0.27601289134438306,0.21213655157234282,0.5371495913765758,0.5371495913765758,0.8722473204559196,0.8722473204559196,0.11533816425120773,0.330247835174679,0.22279299971294336,0.34924729844240027,0.34924729844240027,0.7850903290765288,0.7850903290765288
UniversalGP,s_as_input=True,3,0.8358862144420132,0.5284773343665246,0.9420580757393282,0.7352677050529264,0.5364739325988553,0.6844655700794295,0.6844655700794295,0.9372082313787087,0.8782234957020058,0.8290598290598291,0.8536416623809174,1.0593005051250997,1.0593005051250997,1.0491636666421766,1.0491636666421766,0.9115562403697997,0.7998237626670583,0.855690001518429,1.1396963717734054,1.1396963717734054,1.1117324777027413,1.1117324777027413,0.4977973568281938,0.5314358538657604,0.5146166053469772,0.9367026202826285,0.9367026202826285,0.9663615029624334,0.9663615029624334,0.7066666666666667,0.49818676337262013,0.6024267150196434,1.4184774037003336,1.4184774037003336,1.2084799032940465,1.2084799032940465,0.9520958083832335,0.9401967005076142,0.9461462544454238,1.0126559770622412,1.0126559770622412,1.0118991078756192,1.0118991078756192,0.9383275261324042,0.9443840973278297,0.941355811730117,0.9935867501236385,0.9935867501236385,0.9939434288045745,0.9939434288045745,0.04790419161676651,0.05980329949238583,0.05385374555457617,0.8010292412522437,0.8010292412522437,0.9881008921243807,0.9881008921243807,0.06167247386759578,0.055615902672170314,0.058644188269883046,1.1088999891114977,1.1088999891114977,1.0060565711954255,1.0060565711954255,0.5022026431718062,0.4685641461342396,0.4853833946530229,1.0717905911391041,1.0717905911391041,1.0336384970375665,1.0336384970375665,0.29333333333333333,0.5018132366273799,0.3975732849803566,0.5845468232460103,0.5845468232460103,0.7915200967059535,0.7915200967059535,0.6686390532544378,0.7684275184275184,0.7185332858409781,0.8701393914454235,0.8701393914454235,0.9002115348269194,0.9002115348269194,0.5995475113122172,0.811070110701107,0.7053088110066621,0.7392055303258,0.7392055303258,0.7884774006111102,0.7884774006111102,0.09290953545232274,0.1568990042674253,0.12490426985987402,0.5921614090932266,0.5921614090932266,0.9360105311848974,0.9360105311848974,0.0392436674991081,0.20297029702970298,0.12110698226440554,0.19334684962975207,0.19334684962975207,0.8362733704694051,0.8362733704694051
UniversalGP,s_as_input=True,4,0.5001989258006764,0.501356063541263,0.4997992773986351,0.500577670469949,0.0010093527857383702,0.9800135070113472,0.9800135070113472,0.9899319471690802,0.520891364902507,0.496750986307728,0.5088211756051175,1.0485965388296672,1.0485965388296672,1.024140378594779,1.024140378594779,0.5044739278000617,0.4981652722735946,0.5013196000368282,1.0126637802303537,1.0126637802303537,1.006308655526467,1.006308655526467,0.5401785714285714,0.49766652524395416,0.5189225483362627,1.0854227560589453,1.0854227560589453,1.0425120461846173,1.0425120461846173,0.49157303370786515,0.5029213483146068,0.49724719101123593,0.9774352100089364,0.9774352100089364,0.9886516853932583,0.9886516853932583,0.5173267326732673,0.4964063248682319,0.5068665287707497,1.0421437172674797,1.0421437172674797,1.0209204078050353,1.0209204078050353,0.5060658578856152,0.49585876198779427,0.5009623099367048,1.0205846839469022,1.0205846839469022,1.0102070958978209,1.0102070958978209,0.48267326732673266,0.5035936751317681,0.4931334712292504,0.9584577629979933,0.9584577629979933,0.9790795921949645,0.9790795921949645,0.4939341421143848,0.5041412380122057,0.49903769006329524,0.9797534993604833,0.9797534993604833,0.9897929041021791,0.9897929041021791,0.4598214285714286,0.5023334747560458,0.4810774516637372,0.9153708675193051,0.9153708675193051,0.9574879538153828,0.9574879538153828,0.5084269662921348,0.4970786516853932,0.5027528089887641,1.0228300180831826,1.0228300180831826,1.0113483146067415,1.0113483146067415,0.17138810198300283,0.2711511789181692,0.221269640450586,0.6320758134513813,0.6320758134513813,0.9002369230648336,0.9002369230648336,0.109375,0.32604895104895104,0.21771197552447552,0.33545576407506705,0.33545576407506705,0.783326048951049,0.783326048951049,0.1410958904109589,0.27586206896551724,0.2084789796882381,0.5114726027397261,0.5114726027397261,0.8652338214454417,0.8652338214454417,0.11029859841560025,0.32712215320910976,0.218710375812355,0.33717862680211974,0.33717862680211974,0.7831764452064904,0.7831764452064904
UniversalGP,s_as_input=True,5,0.842152377163318,0.5388978930307942,0.9408120221460585,0.7398549575884263,0.5409856142797588,0.6798696983123214,0.6798696983123214,0.9368027559775133,0.8823529411764706,0.8354048089208967,0.8588788750486837,1.0561980632074854,1.0561980632074854,1.0469481322555738,1.0469481322555738,0.9124692874692875,0.8084730803177406,0.860471183893514,1.1286328632125575,1.1286328632125575,1.103996207151547,1.103996207151547,0.5483870967741935,0.5379831186139493,0.5431851076940715,1.0193388561839056,1.0193388561839056,1.010403978160244,1.010403978160244,0.7021276595744681,0.5095602294455067,0.6058439445099875,1.377909065506367,1.377909065506367,1.1925674301289613,1.1925674301289613,0.9413680781758957,0.9407046240956276,0.9410363511357617,1.000705273539934,1.000705273539934,1.0006634540802681,1.0006634540802681,0.9399305555555556,0.9413514662133446,0.9406410108844501,0.99849056308001,0.99849056308001,0.998579089342211,0.998579089342211,0.05863192182410426,0.059295375904372394,0.05896364886423833,0.9888110317179183,0.9888110317179183,0.9993365459197319,0.9993365459197319,0.0600694444444444,0.058648533786655355,0.059358989115549876,1.0242275563607073,1.0242275563607073,1.0014209106577892,1.0014209106577892,0.4516129032258065,0.4620168813860507,0.4568148923059286,0.9774813895781638,0.9774813895781638,0.9895960218397558,0.9895960218397558,0.2978723404255319,0.4904397705544933,0.3941560554900126,0.6073576375927999,0.6073576375927999,0.8074325698710386,0.8074325698710386,0.6230366492146597,0.7625944584382871,0.6928155538264734,0.8169960354689345,0.8169960354689345,0.8604421907763726,0.8604421907763726,0.6041189931350115,0.7943368107302533,0.6992279019326324,0.760532541076159,0.760532541076159,0.8097821824047582,0.8097821824047582,0.07814992025518341,0.14812704742914115,0.11313848384216228,0.5275871058765795,0.5275871058765795,0.9300228728260422,0.9300228728260422,0.039730400851365734,0.18804985337243402,0.11389012711189987,0.21127589380609302,0.21127589380609302,0.8516805474789317,0.8516805474789317
UniversalGP,s_as_input=True,6,0.503978516013527,0.5102040816326531,0.5019192587690271,0.50606167020084,0.01047887877997115,1.0036319721428937,1.0036319721428937,1.0018178458962457,0.4778699861687414,0.508364312267658,0.4931171492181997,0.9400148173995717,0.9400148173995717,0.9695056739010834,0.9695056739010834,0.49611680646163403,0.5076810534016094,0.5018989299316217,0.9772214329006537,0.9772214329006537,0.9884357530600246,0.9884357530600246,0.4788732394366197,0.5131233595800525,0.49599829950833607,0.9332516840171463,0.9332516840171463,0.9657498798565671,0.9657498798565671,0.49295774647887325,0.5130597014925373,0.5030087239857053,0.9608194622279129,0.9608194622279129,0.9798980449863359,0.9798980449863359,0.47769667477696676,0.5066434672571971,0.49217007101708193,0.9428655566468884,0.9428655566468884,0.9710532075197696,0.9710532075197696,0.4965083798882682,0.5052227670006395,0.5008655734444538,0.9827513966480448,0.9827513966480448,0.9912856128876286,0.9912856128876286,0.5223033252230332,0.4933565327428029,0.507829928982918,1.0586731715485784,1.0586731715485784,1.0289467924802302,1.0289467924802302,0.5034916201117319,0.4947772329993605,0.4991344265555462,1.0176127487910962,1.0176127487910962,1.0087143871123714,1.0087143871123714,0.5211267605633803,0.4868766404199475,0.5040017004916639,1.0703466079495843,1.0703466079495843,1.0342501201434326,1.0342501201434326,0.5070422535211268,0.4869402985074627,0.4969912760142947,1.0412821758135018,1.0412821758135018,1.020101955013664,1.020101955013664,0.13672922252010725,0.2732991612301957,0.20501419187515146,0.500291409255158,0.500291409255158,0.8634300612899115,0.8634300612899115,0.10822510822510822,0.3215434083601286,0.21488425829261842,0.3365800865800866,0.3365800865800866,0.7866816998649796,0.7866816998649796,0.15857142857142856,0.25787766450417055,0.20822454653779954,0.6149095109742009,0.6149095109742009,0.900693764067258,0.900693764067258,0.11235955056179775,0.30579964850615116,0.20907959953397445,0.36742864522794777,0.36742864522794777,0.8065599020556466,0.8065599020556466
UniversalGP,s_as_input=True,7,0.4996021483986473,0.48204921339249696,0.5053465346534654,0.49369787402298115,-0.0108667547294063,1.0181107796758782,1.0181107796758782,1.0088504926832162,0.5038979447200567,0.4989008446141386,0.5013993946670976,1.0100162189738984,1.0100162189738984,1.0049971001059181,1.0049971001059181,0.5021551724137931,0.49838377901851305,0.5002694757161531,1.007567247478855,1.007567247478855,1.00377139339528,1.00377139339528,0.4585152838427948,0.48444444444444446,0.47147986414361964,0.9464765033452186,0.9464765033452186,0.9740708393983504,0.9740708393983504,0.49859154929577465,0.4792843691148776,0.4889379592053261,1.0402833503970779,1.0402833503970779,1.019307180180897,1.019307180180897,0.5126903553299492,0.5039887376818395,0.5083395465058944,1.017265500193782,1.017265500193782,1.0087016176481098,1.0087016176481098,0.5025924645696509,0.5070482699700982,0.5048203672698746,0.9912122658446106,0.9912122658446106,0.9955441945995527,0.9955441945995527,0.4873096446700508,0.4960112623181605,0.49166045349410564,0.9824568143726378,0.9824568143726378,0.9912983823518903,0.9912983823518903,0.4974075354303491,0.4929517300299018,0.49517963273012544,1.0090390298461414,1.0090390298461414,1.0044558054004473,1.0044558054004473,0.5414847161572052,0.5155555555555555,0.5285201358563804,1.0502936304773376,1.0502936304773376,1.0259291606016496,1.0259291606016496,0.5014084507042254,0.5207156308851224,0.5110620407946739,0.9629218348063062,0.9629218348063062,0.980692819819103,0.980692819819103,0.15418502202643172,0.25580849565829616,0.20499675884236396,0.6027361273895647,0.6027361273895647,0.8983765263681356,0.8983765263681356,0.10952970297029703,0.30607336139506913,0.20780153218268307,0.35785441265148127,0.35785441265148127,0.8034563415752278,0.8034563415752278,0.16986301369863013,0.26471930625285256,0.21729115997574133,0.6416721776098252,0.6416721776098252,0.9051437074457775,0.9051437074457775,0.1090686274509804,0.317816091954023,0.2134423597025017,0.3431815764280396,0.3431815764280396,0.7912525354969574,0.7912525354969574
UniversalGP,s_as_input=True,8,0.502287646707778,0.49480415667466027,0.5047669491525424,0.4997855529136013,-0.00037088266605613343,0.987024957884764,0.987024957884764,0.9935486901351243,0.4880450070323488,0.504633920296571,0.4963394636644599,0.9671268367087316,0.9671268367087316,0.9834110867357779,0.9834110867357779,0.511090573012939,0.49809048178613397,0.5045905273995365,1.0260998587649923,1.0260998587649923,1.0130000912268051,1.0130000912268051,0.47465437788018433,0.49671772428884026,0.4856860510845123,0.9555817211068028,0.9555817211068028,0.9779366535913441,0.9779366535913441,0.5079365079365079,0.4924670433145009,0.5002017756255044,1.0314121824638076,1.0314121824638076,1.015469464622007,1.015469464622007,0.4904564315352697,0.5074838506380968,0.49897014108668325,0.9664473675735351,0.9664473675735351,0.982972580897173,0.982972580897173,0.5115062761506276,0.5006404782237404,0.5060733771871839,1.0217037942386098,1.0217037942386098,1.0108657979268871,1.0108657979268871,0.5095435684647303,0.49251614936190324,0.5010298589133168,1.0345723061566356,1.0345723061566356,1.017027419102827,1.017027419102827,0.4884937238493724,0.49935952177625964,0.493926622812816,0.9782405312143908,0.9782405312143908,0.9891342020731128,0.9891342020731128,0.5253456221198156,0.5032822757111597,0.5143139489154877,1.0438389100380685,1.0438389100380685,1.022063346408656,1.022063346408656,0.4920634920634921,0.5075329566854991,0.4997982243744956,0.9695202756427246,0.9695202756427246,0.984530535377993,0.984530535377993,0.14365411436541142,0.26636939685519834,0.20501175561030488,0.5393041245030996,0.5393041245030996,0.8772847175102131,0.8772847175102131,0.12052730696798493,0.3090103397341211,0.21476882335105302,0.39004295801780975,0.39004295801780975,0.8115169672338638,0.8115169672338638,0.16170212765957448,0.263097689315946,0.21239990848776025,0.6146086956521739,0.6146086956521739,0.8986044383436285,0.8986044383436285,0.11252268602540835,0.3149284253578732,0.21372555569164076,0.3572960614702902,0.3572960614702902,0.7975942606675351,0.7975942606675351
UniversalGP,s_as_input=True,9,0.5032822757111597,0.505422153369481,0.5025428265524625,0.5039824899609717,0.006959412286471906,0.9942842252061087,0.9942842252061087,0.9971395692443504,0.4903914590747331,0.5053763440860215,0.4978839015803773,0.9703490573180888,0.9703490573180888,0.9850151149887116,0.9850151149887116,0.4963768115942029,0.5066745772767725,0.5015256944354877,0.979675779791603,0.979675779791603,0.9897022343174304,0.9897022343174304,0.5,0.5059777967549103,0.5029888983774551,0.9881856540084389,0.9881856540084389,0.9940222032450897,0.9940222032450897,0.4752475247524752,0.5110192837465565,0.49313340424951585,0.9299991993808545,0.9299991993808545,0.9642282410059188,0.9642282410059188,0.488412017167382,0.5051530045980657,0.49678251088272385,0.9668595707076829,0.9668595707076829,0.9832590125693164,0.9832590125693164,0.49931224209078406,0.504601226993865,0.5019567345423246,0.989518485845566,0.989518485845566,0.9947110150969191,0.9947110150969191,0.511587982832618,0.49484699540193433,0.5032174891172762,1.0338306336832175,1.0338306336832175,1.0167409874306836,1.0167409874306836,0.5006877579092159,0.495398773006135,0.49804326545767547,1.0106762172037422,1.0106762172037422,1.005288984903081,1.005288984903081,0.5,0.4940222032450897,0.49701110162254486,1.0121002592912705,1.0121002592912705,1.0059777967549102,1.0059777967549102,0.5247524752475248,0.4889807162534435,0.5068665957504841,1.0731557662808535,1.0731557662808535,1.0357717589940814,1.0357717589940814,0.16759776536312848,0.27519739897816997,0.22139758217064923,0.6090092638427268,0.6090092638427268,0.8924003663849585,0.8924003663849585,0.11650485436893204,0.32987551867219916,0.2231901865205656,0.3531782377724858,0.3531782377724858,0.7866293356967329,0.7866293356967329,0.1741654571843251,0.2664057103384757,0.2202855837614004,0.6537602251957856,0.6537602251957856,0.9077597468458494,0.9077597468458494,0.12740384615384615,0.3162114014251782,0.22180762378951216,0.40290718671000353,0.40290718671000353,0.811192444728668,0.811192444728668
