algorithm,TNR0set,TNR1set,TPRset,TNR0num,TNR1num,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff
"FairGPopp, 0-TNR=0.9, 1-TNR=0.6, TPR=0.7","FairGPopp, 0-TNR=0.9","FairGPopp, 1-TNR=0.6","FairGPopp, TPR=0.7",0.9,0.6,s_as_input=False,5,0.631502188,0.493062967,0.747321429,0.620192198,0.24908067,0.956583855,0.956583855,0.98381198,0.626381724,0.641428571,0.633905148,0.976541664,0.976541664,0.984953153,0.984953153,0.4826546,0.518248175,0.500451388,0.93131944,0.93131944,0.964406425,0.964406425,0.763688761,0.720657277,0.742173019,1.05971144,1.05971144,1.043031484,1.043031484,0.236311239,0.279342723,0.257826981,0.84595452,0.84595452,0.956968516,0.956968516,0.5173454,0.481751825,0.499548612,1.073883633,1.073883633,1.035593575,1.035593575,0.356669123,0.372857143,0.364763133,0.956583855,0.956583855,0.98381198,0.98381198,0.661157025,0.544061303,0.602609164,1.215225236,1.215225236,1.117095722,1.117095722,0.392898053,0.300683371,0.346790712,1.306683675,1.306683675,1.092214681,1.092214681
"FairGPopp, 0-TNR=0.9, 1-TNR=0.6, TPR=0.7","FairGPopp, 0-TNR=0.9","FairGPopp, 1-TNR=0.6","FairGPopp, TPR=0.7",0.9,0.6,s_as_input=False,6,0.636363636,0.537886873,0.71875,0.628318436,0.261093217,0.892409727,0.892409727,0.953889883,0.647752395,0.614285714,0.631019055,1.054480643,1.054480643,1.033466681,1.033466681,0.53092006,0.554744526,0.542832293,0.957053267,0.957053267,0.976175535,0.976175535,0.759365994,0.65258216,0.705974077,1.163632783,1.163632783,1.106783835,1.106783835,0.240634006,0.34741784,0.294025923,0.692635719,0.692635719,0.893216165,0.893216165,0.46907994,0.445255474,0.457167707,1.053507405,1.053507405,1.023824465,1.023824465,0.382461312,0.428571429,0.40551637,0.892409727,0.892409727,0.953889883,0.953889883,0.67822736,0.506666667,0.592447013,1.338606632,1.338606632,1.171560694,1.171560694,0.371121718,0.305,0.338060859,1.216792519,1.216792519,1.066121718,1.066121718
"FairGPopp, 0-TNR=0.9, 1-TNR=0.6, TPR=0.7","FairGPopp, 0-TNR=0.9","FairGPopp, 1-TNR=0.6","FairGPopp, TPR=0.7",0.9,0.6,s_as_input=False,7,0.616431697,0.475987193,0.733928571,0.604957882,0.217573016,0.767727355,0.767727355,0.900786399,0.618275608,0.612857143,0.615566375,1.008841318,1.008841318,1.005418465,1.005418465,0.44494721,0.551094891,0.49802105,0.807387652,0.807387652,0.893852319,0.893852319,0.783861671,0.65258216,0.718221916,1.201169324,1.201169324,1.131279512,1.131279512,0.216138329,0.34741784,0.281778084,0.622127892,0.622127892,0.868720488,0.868720488,0.55505279,0.448905109,0.50197895,1.236459061,1.236459061,1.106147681,1.106147681,0.327929256,0.427142857,0.377536056,0.767727355,0.767727355,0.900786399,0.900786399,0.662921348,0.505016722,0.583969035,1.312672074,1.312672074,1.157904626,1.157904626,0.403508772,0.306733167,0.35512097,1.315504208,1.315504208,1.096775605,1.096775605
"FairGPopp, 0-TNR=0.9, 1-TNR=0.6, TPR=0.7","FairGPopp, 0-TNR=0.9","FairGPopp, 1-TNR=0.6","FairGPopp, TPR=0.7",0.9,0.6,s_as_input=False,8,0.630043753,0.505869797,0.733928571,0.619899184,0.246640741,0.876573684,0.876573684,0.949571534,0.630803242,0.628571429,0.629687336,1.003550613,1.003550613,1.002231814,1.002231814,0.488687783,0.547445255,0.518066519,0.892669683,0.892669683,0.941242527,0.941242527,0.766570605,0.680751174,0.723660889,1.126065786,1.126065786,1.085819431,1.085819431,0.233429395,0.319248826,0.276339111,0.731183251,0.731183251,0.914180569,0.914180569,0.511312217,0.452554745,0.481933481,1.129835061,1.129835061,1.058757473,1.058757473,0.358142962,0.408571429,0.383357195,0.876573684,0.876573684,0.949571534,0.949571534,0.666666667,0.524475524,0.595571096,1.271111111,1.271111111,1.142191142,1.142191142,0.389207807,0.299516908,0.344362358,1.299451872,1.299451872,1.089690899,1.089690899
"FairGPopp, 0-TNR=0.9, 1-TNR=0.6, TPR=0.7","FairGPopp, 0-TNR=0.9","FairGPopp, 1-TNR=0.6","FairGPopp, TPR=0.7",0.9,0.6,s_as_input=False,9,0.644628099,0.503735326,0.7625,0.633117663,0.276435559,0.796889691,0.796889691,0.9158543,0.648489315,0.637142857,0.642816086,1.017808341,1.017808341,1.011346458,1.011346458,0.478129713,0.565693431,0.521911572,0.845209945,0.845209945,0.912436283,0.912436283,0.811239193,0.683098592,0.747168892,1.187587272,1.187587272,1.128140602,1.128140602,0.188760807,0.316901408,0.252831108,0.595645213,0.595645213,0.871859398,0.871859398,0.521870287,0.434306569,0.478088428,1.201617299,1.201617299,1.087563717,1.087563717,0.330140015,0.414285714,0.372212865,0.796889691,0.796889691,0.9158543,0.9158543,0.707589286,0.534482759,0.621036022,1.323876728,1.323876728,1.173106527,1.173106527,0.380638064,0.290243902,0.335440983,1.311442069,1.311442069,1.090394161,1.090394161
"FairGPopp*, 0-TNR=0.9, 1-TNR=0.6, TPR=0.6","FairGPopp*, 0-TNR=0.9","FairGPopp*, 1-TNR=0.6","FairGPopp*, TPR=0.6",0.9,0.6,s_as_input=True,0,0.639280506,0.480256137,0.772321429,0.626288783,0.265027338,0.649764753,0.649764753,0.843895147,0.640383198,0.637142857,0.638763028,1.005085737,1.005085737,1.003240341,1.003240341,0.428355958,0.605839416,0.517097687,0.707045376,0.707045376,0.822516542,0.822516542,0.842939481,0.657276995,0.750108238,1.282472211,1.282472211,1.185662486,1.185662486,0.157060519,0.342723005,0.249891762,0.458272472,0.458272472,0.814337514,0.814337514,0.571644042,0.394160584,0.482902313,1.450282107,1.450282107,1.177483458,1.177483458,0.289609433,0.445714286,0.367661859,0.649764753,0.649764753,0.843895147,0.843895147,0.72264631,0.532051282,0.627348796,1.3582268,1.3582268,1.190595028,1.190595028,0.393153527,0.278350515,0.335752021,1.412440449,1.412440449,1.114803012,1.114803012
"FairGPopp*, 0-TNR=0.9, 1-TNR=0.6, TPR=0.6","FairGPopp*, 0-TNR=0.9","FairGPopp*, 1-TNR=0.6","FairGPopp*, TPR=0.6",0.9,0.6,s_as_input=True,1,0.631988333,0.47171825,0.766071429,0.618894839,0.249595401,0.655620795,0.655620795,0.847489209,0.6366986,0.622857143,0.629777871,1.022222523,1.022222523,1.013841457,1.013841457,0.425339367,0.583941606,0.504640486,0.728393665,0.728393665,0.841397761,0.841397761,0.838616715,0.647887324,0.743252019,1.294386668,1.294386668,1.190729391,1.190729391,0.161383285,0.352112676,0.256747981,0.45832853,0.45832853,0.809270609,0.809270609,0.574660633,0.416058394,0.495359514,1.381201873,1.381201873,1.158602239,1.158602239,0.290346352,0.442857143,0.366601748,0.655620795,0.655620795,0.847489209,0.847489209,0.715736041,0.516129032,0.615932536,1.386738579,1.386738579,1.199607008,1.199607008,0.395638629,0.292307692,0.343973161,1.353500574,1.353500574,1.103330937,1.103330937
"FairGPopp*, 0-TNR=0.9, 1-TNR=0.6, TPR=0.6","FairGPopp*, 0-TNR=0.9","FairGPopp*, 1-TNR=0.6","FairGPopp*, TPR=0.6",0.9,0.6,s_as_input=True,2,0.632474477,0.490928495,0.750892857,0.620910676,0.251011447,0.625499186,0.625499186,0.821309612,0.640383198,0.617142857,0.628763028,1.03765796,1.03765796,1.023240341,1.023240341,0.437405732,0.620437956,0.528921844,0.70499512,0.70499512,0.816967775,0.816967775,0.834293948,0.615023474,0.724658711,1.356523748,1.356523748,1.219270474,1.219270474,0.165706052,0.384976526,0.275341289,0.430431574,0.430431574,0.780729526,0.780729526,0.562594268,0.379562044,0.471078156,1.482219515,1.482219515,1.183032225,1.183032225,0.298452469,0.477142857,0.387797663,0.625499186,0.625499186,0.821309612,0.821309612,0.716049383,0.508982036,0.612515709,1.406826434,1.406826434,1.207067347,1.207067347,0.391806723,0.284153005,0.337979864,1.378858274,1.378858274,1.107653717,1.107653717
"FairGPopp*, 0-TNR=0.9, 1-TNR=0.6, TPR=0.6","FairGPopp*, 0-TNR=0.9","FairGPopp*, 1-TNR=0.6","FairGPopp*, TPR=0.6",0.9,0.6,s_as_input=True,3,0.634905202,0.473852721,0.769642857,0.621747789,0.255759446,0.663707786,0.663707786,0.852511843,0.634487841,0.635714286,0.635101063,0.998070761,0.998070761,0.998773555,0.998773555,0.423831071,0.594890511,0.509360791,0.71245223,0.71245223,0.82894056,0.82894056,0.83573487,0.661971831,0.748853351,1.262493102,1.262493102,1.173763039,1.173763039,0.16426513,0.338028169,0.251146649,0.485951009,0.485951009,0.826236961,0.826236961,0.576168929,0.405109489,0.490639209,1.422254834,1.422254834,1.17105944,1.17105944,0.291083272,0.438571429,0.36482735,0.663707786,0.663707786,0.852511843,0.852511843,0.711392405,0.530944625,0.621168515,1.339861769,1.339861769,1.18044778,1.18044778,0.397089397,0.282442748,0.339766073,1.405911109,1.405911109,1.114646649,1.114646649
"FairGPopp*, 0-TNR=0.9, 1-TNR=0.6, TPR=0.6","FairGPopp*, 0-TNR=0.9","FairGPopp*, 1-TNR=0.6","FairGPopp*, TPR=0.6",0.9,0.6,s_as_input=True,4,0.62177929,0.479188901,0.741071429,0.610130165,0.228631027,0.67543294,0.67543294,0.851626487,0.631540162,0.602857143,0.617198652,1.047578468,1.047578468,1.028683019,1.028683019,0.438914027,0.576642336,0.507778181,0.761154705,0.761154705,0.862271691,0.862271691,0.81556196,0.61971831,0.717640135,1.316020435,1.316020435,1.19584365,1.19584365,0.18443804,0.38028169,0.282359865,0.485003736,0.485003736,0.80415635,0.80415635,0.561085973,0.423357664,0.492221819,1.325323763,1.325323763,1.137728309,1.137728309,0.308769344,0.457142857,0.382956101,0.67543294,0.67543294,0.851626487,0.851626487,0.69451074,0.49375,0.59413037,1.40660403,1.40660403,1.20076074,1.20076074,0.396588486,0.305263158,0.350925822,1.299169179,1.299169179,1.091325328,1.091325328
