algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff
UGP_eq_opp_in_True_0tnr_0.6_1tnr_1.0_0tpr_0.9_1tpr_0.9,s_as_input=True,0,0.6383082158483228,0.6648879402347919,0.6160714285714286,0.6404796844031102,0.27992473989602795,4.126750184229919,4.126750184229919,1.5226139593641435,0.627855563743552,0.6585714285714286,0.6432134961574902,0.9533598581789293,0.9533598581789293,0.9692841351721234,0.9692841351721234,0.8250377073906485,0.2773722627737226,0.5512049850821856,2.9744780503294432,2.9744780503294432,1.5476654446169258,1.5476654446169258,0.43948126801152737,0.903755868544601,0.6716185682780642,0.4862831692802874,0.4862831692802874,0.5357253994669264,0.5357253994669264,0.5605187319884726,0.096244131455399,0.3283814317219358,5.8239263372460846,5.8239263372460846,1.4642746005330736,1.4642746005330736,0.17496229260935148,0.7226277372262774,0.4487950149178144,0.24211953623718335,0.24211953623718335,0.4523345553830741,0.4523345553830741,0.6897568165070007,0.16714285714285715,0.42844983682492893,4.126750184229919,4.126750184229919,1.5226139593641435,1.5226139593641435,0.5844017094017094,0.6495726495726496,0.6169871794871795,0.899671052631579,0.899671052631579,0.9348290598290598,0.9348290598290598,0.2755344418052256,0.33962264150943394,0.3075785416573298,0.8112958564264977,0.8112958564264977,0.9359118002957917,0.9359118002957917
UGP_eq_opp_in_True_0tnr_0.6_1tnr_1.0_0tpr_0.9_1tpr_0.9,s_as_input=True,1,0.628099173553719,0.6499466382070438,0.6098214285714286,0.6298840333892362,0.2587754956117004,5.104704003930238,5.104704003930238,1.5629308348247184,0.6190125276344879,0.6457142857142857,0.6323634066743868,0.9586477197879237,0.9586477197879237,0.9732982419202022,0.9732982419202022,0.8265460030165912,0.22262773722627738,0.5245868701214342,3.7126820463368193,3.7126820463368193,1.603918265790314,1.603918265790314,0.4207492795389049,0.9178403755868545,0.6692948275628797,0.4584122585257634,0.4584122585257634,0.5029089039520505,0.5029089039520505,0.579250720461095,0.0821596244131455,0.3307051724371203,7.05030876904076,7.05030876904076,1.4970910960479495,1.4970910960479495,0.1734539969834088,0.7773722627737226,0.4754131298785657,0.22312861583781227,0.22312861583781227,0.3960817342096862,0.3960817342096862,0.7000736919675755,0.13714285714285715,0.4186082745552163,5.104704003930238,5.104704003930238,1.5629308348247184,1.5629308348247184,0.5768421052631579,0.6354166666666666,0.6061293859649123,0.9078170836928388,0.9078170836928388,0.9414254385964913,0.9414254385964913,0.28255528255528256,0.3526490066225166,0.31760214458889957,0.8012365758844632,0.8012365758844632,0.929906275932766,0.929906275932766
UGP_eq_opp_in_True_0tnr_0.6_1tnr_1.0_0tpr_0.9_1tpr_0.9,s_as_input=True,2,0.636849781234808,0.6446104589114194,0.6303571428571428,0.6374838008842811,0.2738915727375903,5.811011178094841,5.811011178094841,1.570448468259817,0.6168017686072218,0.6757142857142857,0.6462580271607538,0.9128144567125904,0.9128144567125904,0.9410874828929361,0.9410874828929361,0.8129713423831071,0.23722627737226276,0.525098809877685,3.4269868894303284,3.4269868894303284,1.5757450650108442,1.5757450650108442,0.42939481268011526,0.9577464788732394,0.6935706457766773,0.44833870147482624,0.44833870147482624,0.4716483338068759,0.4716483338068759,0.5706051873198847,0.04225352112676062,0.3064293542233227,13.504322766570588,13.504322766570588,1.528351666193124,1.528351666193124,0.1870286576168929,0.7627737226277372,0.4749011901223151,0.2451954650097065,0.2451954650097065,0.4242549349891557,0.4242549349891557,0.6890198968312454,0.11857142857142858,0.403795662701337,5.811011178094841,5.811011178094841,1.570448468259817,1.570448468259817,0.5764705882352941,0.7831325301204819,0.679801559177888,0.7361085972850678,0.7361085972850678,0.7933380581148122,0.7933380581148122,0.2938388625592417,0.3387358184764992,0.31628734051787044,0.8674573119571871,0.8674573119571871,0.9551030440827425,0.9551030440827425
UGP_eq_opp_in_True_0tnr_0.6_1tnr_1.0_0tpr_0.9_1tpr_0.9,s_as_input=True,3,0.6349052017501216,0.6435432230522946,0.6276785714285714,0.6356108972404331,0.2701555710062166,4.099600511965248,4.099600511965248,1.5047920833771975,0.6204863669859986,0.6628571428571428,0.6416717549215707,0.9360785708840497,0.9360785708840497,0.9576292241288558,0.9576292241288558,0.7948717948717948,0.2773722627737226,0.5361220288227587,2.8657219973009447,2.8657219973009447,1.5174995320980722,1.5174995320980722,0.4538904899135447,0.9107981220657277,0.6823443059896362,0.498343682224665,0.498343682224665,0.543092367847817,0.543092367847817,0.5461095100864553,0.08920187793427226,0.31765569401036375,6.122175034127107,6.122175034127107,1.456907632152183,1.456907632152183,0.20512820512820518,0.7226277372262774,0.4638779711772413,0.2838642838642839,0.2838642838642839,0.4825004679019278,0.4825004679019278,0.6676492262343404,0.16285714285714287,0.41525318454574167,4.099600511965248,4.099600511965248,1.5047920833771975,1.5047920833771975,0.5816777041942605,0.6666666666666666,0.6241721854304636,0.8725165562913907,0.8725165562913907,0.9150110375275938,0.9150110375275938,0.30155210643015523,0.3378839590443686,0.3197180327372619,0.8924723957983383,0.8924723957983383,0.9636681473857867,0.9636681473857867
UGP_eq_opp_in_True_0tnr_0.6_1tnr_1.0_0tpr_0.9_1tpr_0.9,s_as_input=True,4,0.6324744773942635,0.6264674493062967,0.6375,0.6319837246531483,0.2630775231975193,5.2395816945840545,5.2395816945840545,1.5390325297399725,0.6204863669859986,0.6557142857142857,0.6381003263501421,0.9462755052074052,0.9462755052074052,0.9647720812717129,0.9647720812717129,0.7933634992458521,0.22262773722627738,0.5079956182360648,3.5636327671043193,3.5636327671043193,1.5707357620195748,1.5707357620195748,0.4553314121037464,0.9342723004694836,0.694801856286615,0.4873647777793868,0.4873647777793868,0.5210591116342628,0.5210591116342628,0.5446685878962536,0.06572769953051638,0.305198143713385,8.28674351585015,8.28674351585015,1.4789408883657371,1.4789408883657371,0.20663650075414786,0.7773722627737226,0.49200438176393524,0.2658140901720024,0.2658140901720024,0.42926423798042523,0.42926423798042523,0.6661753868828297,0.12714285714285714,0.3966591220128434,5.2395816945840545,5.2395816945840545,1.5390325297399725,1.5390325297399725,0.581858407079646,0.6853932584269663,0.6336258327533062,0.8489409545916146,0.8489409545916146,0.8964651486526797,0.8964651486526797,0.30242825607064017,0.3486088379705401,0.32551854702059013,0.8675289411228223,0.8675289411228223,0.9538194181001001,0.9538194181001001
UGP_eq_opp_in_True_0tnr_0.6_1tnr_1.0_0tpr_0.9_1tpr_0.9,s_as_input=True,5,0.6387943607194944,0.6200640341515475,0.6544642857142857,0.6372641599329166,0.27391406962602277,4.023581429624171,4.023581429624171,1.475134224655227,0.6352247605011054,0.6457142857142857,0.6404695231076956,0.9837551600680837,0.9837551600680837,0.9895104747868197,0.9895104747868197,0.7737556561085973,0.24817518248175183,0.5109654192951746,3.117780143731701,3.117780143731701,1.5255804736268455,1.5255804736268455,0.5028818443804035,0.9014084507042254,0.7021451475423144,0.5578845461095101,0.5578845461095101,0.6014733936761781,0.6014733936761781,0.4971181556195965,0.09859154929577463,0.29785485245768556,5.042198435570194,5.042198435570194,1.3985266063238218,1.3985266063238218,0.2262443438914027,0.7518248175182481,0.4890345807048254,0.3009269428458463,0.3009269428458463,0.47441952637315454,0.47441952637315454,0.6322770817980841,0.15714285714285714,0.3947099694704706,4.023581429624171,4.023581429624171,1.475134224655227,1.475134224655227,0.5979020979020979,0.6181818181818182,0.608041958041958,0.9671945701357466,0.9671945701357466,0.9797202797202798,0.9797202797202798,0.30060120240480964,0.34915254237288135,0.3248768723888455,0.860945191353581,0.860945191353581,0.9514486600319283,0.9514486600319283
UGP_eq_opp_in_True_0tnr_0.6_1tnr_1.0_0tpr_0.9_1tpr_0.9,s_as_input=True,6,0.6208070004861449,0.6670224119530416,0.5821428571428572,0.6245826345479494,0.24866674821341186,4.609767535338649,4.609767535338649,1.5672491841246448,0.6079587324981577,0.6457142857142857,0.6268365091062217,0.9415290105059965,0.9415290105059965,0.962244446783872,0.962244446783872,0.8401206636500754,0.24817518248175183,0.5441479230659136,3.3851920858841273,3.3851920858841273,1.5919454811683236,1.5919454811683236,0.3861671469740634,0.9014084507042254,0.6437877988391444,0.4284041786743516,0.4284041786743516,0.48475869626983803,0.48475869626983803,0.6138328530259366,0.09859154929577463,0.3562122011608556,6.226018937834501,6.226018937834501,1.515241303730162,1.515241303730162,0.15987933634992457,0.7518248175182481,0.45585207693408636,0.21265503961106474,0.21265503961106474,0.4080545188316764,0.4080545188316764,0.7243920412675019,0.15714285714285714,0.4407674492051795,4.609767535338649,4.609767535338649,1.5672491841246448,1.5672491841246448,0.5666327568667345,0.6181818181818182,0.5924072875242763,0.9166118125785412,0.9166118125785412,0.9484509386849164,0.9484509386849164,0.28342245989304815,0.34915254237288135,0.3162875011329648,0.811743938528633,0.811743938528633,0.9342699175201667,0.9342699175201667
UGP_eq_opp_in_True_0tnr_0.6_1tnr_1.0_0tpr_0.9_1tpr_0.9,s_as_input=True,7,0.6217792902284881,0.6019210245464247,0.6383928571428571,0.6201569408446409,0.2397625390329451,3.4200035975606218,3.4200035975606218,1.439057795557427,0.6190125276344879,0.6271428571428571,0.6230776923886725,0.98703592105727,0.98703592105727,0.9918696704916308,0.9918696704916308,0.7450980392156863,0.25547445255474455,0.5002862458852154,2.9165266106442576,2.9165266106442576,1.4896235866609417,1.4896235866609417,0.49855907780979825,0.8661971830985915,0.6823781304541949,0.5755722686909867,0.5755722686909867,0.6323618947112067,0.6323618947112067,0.5014409221902018,0.1338028169014085,0.3176218695458051,3.7476111026846644,3.7476111026846644,1.3676381052887931,1.3676381052887931,0.2549019607843137,0.7445255474452555,0.4997137541147846,0.34236831987697036,0.34236831987697036,0.5103764133390583,0.5103764133390583,0.6204863669859986,0.18142857142857144,0.40095746920728503,3.4200035975606218,3.4200035975606218,1.439057795557427,1.439057795557427,0.5866983372921615,0.5511811023622047,0.568939719827183,1.06443841194435,1.06443841194435,1.0355172349299568,1.0355172349299568,0.32815533980582523,0.35602094240837695,0.34208814110710106,0.921730439748715,0.921730439748715,0.9721343973974483,0.9721343973974483
UGP_eq_opp_in_True_0tnr_0.6_1tnr_1.0_0tpr_0.9_1tpr_0.9,s_as_input=True,8,0.6319883325230918,0.6510138740661686,0.6160714285714286,0.6335426513187986,0.2660428861945607,4.030575921461849,4.030575921461849,1.5108685124749974,0.6263817243920413,0.6428571428571429,0.634619433624592,0.9743715712765086,0.9743715712765086,0.9835245815348984,0.9835245815348984,0.8129713423831071,0.2591240875912409,0.536047714987174,3.1373823635629763,3.1373823635629763,1.5538472547918663,1.5538472547918663,0.44812680115273773,0.8896713615023474,0.6688990813275426,0.5036992540661379,0.5036992540661379,0.5584554396503904,0.5584554396503904,0.5518731988472623,0.11032863849765262,0.33110091867245744,5.00208473848795,5.00208473848795,1.4415445603496098,1.4415445603496098,0.1870286576168929,0.7408759124087592,0.46395228501282604,0.2524426216109786,0.2524426216109786,0.44615274520813375,0.44615274520813375,0.6794399410464259,0.16857142857142857,0.42400568480892725,4.030575921461849,4.030575921461849,1.5108685124749974,1.5108685124749974,0.5845986984815619,0.6016949152542372,0.5931468068678996,0.9715865693073846,0.9715865693073846,0.9829037832273246,0.9829037832273246,0.2850574712643678,0.3487972508591065,0.31692736106173713,0.8172583658909461,0.8172583658909461,0.9362602204052612,0.9362602204052612
UGP_eq_opp_in_True_0tnr_0.6_1tnr_1.0_0tpr_0.9_1tpr_0.9,s_as_input=True,9,0.6383082158483228,0.6339381003201707,0.6419642857142858,0.6379511930172282,0.274954267312474,4.565983495917756,4.565983495917756,1.514520475839562,0.6337509211495947,0.6471428571428571,0.6404468891462259,0.9793060591715592,0.9793060591715592,0.9866080640067376,0.9866080640067376,0.799396681749623,0.23357664233576642,0.5164866620426947,3.4224170437405737,3.4224170437405737,1.5658200394138566,1.5658200394138566,0.4755043227665706,0.9131455399061033,0.6943249313363369,0.520732240356193,0.520732240356193,0.5623587828604674,0.5623587828604674,0.5244956772334294,0.08685446009389675,0.30567506866366306,6.038788067606509,6.038788067606509,1.4376412171395327,1.4376412171395327,0.20060331825037703,0.7664233576642336,0.48351333795730533,0.26173956762192047,0.26173956762192047,0.4341799605861434,0.4341799605861434,0.6588061901252763,0.1442857142857143,0.40154595220549527,4.565983495917756,4.565983495917756,1.514520475839562,1.514520475839562,0.5928411633109619,0.6336633663366337,0.6132522648237978,0.9355774608501117,0.9355774608501117,0.9591777969743283,0.9591777969743283,0.28725701943844495,0.35058430717863104,0.31892066330853797,0.8193664506839454,0.8193664506839454,0.936672712259814,0.936672712259814
